End date,"12/26/2016"
Specimen label,"11BG_81_2_run2"
Maximum Load,"0.05442",N

Time,Extension,Load
(s),(mm),(N)
"3.75000","35.46368","0.01127"
"3.75600","35.46416","0.01127"
"3.76200","35.46470","0.01135"
"3.76800","35.46518","0.01138"
"3.77400","35.46566","0.01137"
"3.78000","35.46619","0.01134"
"3.78600","35.46667","0.01129"
"3.79200","35.46721","0.01125"
"3.79800","35.46769","0.01126"
"3.80400","35.46823","0.01135"
"3.81000","35.46870","0.01147"
"3.81600","35.46918","0.01152"
"3.82200","35.46972","0.01157"
"3.82800","35.47020","0.01159"
"3.83400","35.47068","0.01158"
"3.84000","35.47121","0.01160"
"3.84600","35.47169","0.01161"
"3.85200","35.47223","0.01157"
"3.85800","35.47271","0.01143"
"3.86400","35.47325","0.01136"
"3.87000","35.47373","0.01130"
"3.87600","35.47427","0.01125"
"3.88200","35.47474","0.01127"
"3.88800","35.47522","0.01134"
"3.89400","35.47576","0.01139"
"3.90000","35.47624","0.01145"
"3.90600","35.47678","0.01149"
"3.91200","35.47725","0.01144"
"3.91800","35.47773","0.01139"
"3.92400","35.47827","0.01140"
"3.93000","35.47875","0.01143"
"3.93600","35.47929","0.01144"
"3.94200","35.47977","0.01141"
"3.94800","35.48030","0.01135"
"3.95400","35.48078","0.01133"
"3.96000","35.48126","0.01126"
"3.96600","35.48174","0.01123"
"3.97200","35.48228","0.01128"
"3.97800","35.48276","0.01139"
"3.98400","35.48323","0.01151"
"3.99000","35.48372","0.01161"
"3.99600","35.48419","0.01169"
"4.00200","35.48473","0.01178"
"4.00800","35.48521","0.01180"
"4.01400","35.48568","0.01175"
"4.02000","35.48623","0.01176"
"4.02600","35.48670","0.01178"
"4.03200","35.48718","0.01175"
"4.03800","35.48772","0.01171"
"4.04400","35.48820","0.01155"
"4.05000","35.48868","0.01139"
"4.05600","35.48921","0.01124"
"4.06200","35.48969","0.01117"
"4.06800","35.49023","0.01119"
"4.07400","35.49071","0.01122"
"4.08000","35.49125","0.01121"
"4.08600","35.49172","0.01133"
"4.09200","35.49226","0.01144"
"4.09800","35.49274","0.01149"
"4.10400","35.49322","0.01152"
"4.11000","35.49376","0.01155"
"4.11600","35.49424","0.01157"
"4.12200","35.49472","0.01162"
"4.12800","35.49525","0.01164"
"4.13400","35.49573","0.01165"
"4.14000","35.49621","0.01162"
"4.14600","35.49669","0.01150"
"4.15200","35.49717","0.01132"
"4.15800","35.49770","0.01120"
"4.16400","35.49818","0.01124"
"4.17000","35.49872","0.01134"
"4.17600","35.49920","0.01149"
"4.18200","35.49968","0.01160"
"4.18800","35.50021","0.01162"
"4.19400","35.50069","0.01161"
"4.20000","35.50123","0.01171"
"4.20600","35.50171","0.01183"
"4.21200","35.50219","0.01189"
"4.21800","35.50272","0.01188"
"4.22400","35.50320","0.01180"
"4.23000","35.50374","0.01178"
"4.23600","35.50422","0.01182"
"4.24200","35.50470","0.01177"
"4.24800","35.50518","0.01172"
"4.25400","35.50571","0.01166"
"4.26000","35.50619","0.01161"
"4.26600","35.50667","0.01159"
"4.27200","35.50715","0.01168"
"4.27800","35.50769","0.01173"
"4.28400","35.50817","0.01171"
"4.29000","35.50871","0.01167"
"4.29600","35.50919","0.01155"
"4.30200","35.50966","0.01141"
"4.30800","35.51020","0.01129"
"4.31400","35.51068","0.01123"
"4.32000","35.51115","0.01124"
"4.32600","35.51170","0.01130"
"4.33200","35.51217","0.01137"
"4.33800","35.51271","0.01145"
"4.34400","35.51319","0.01149"
"4.35000","35.51373","0.01155"
"4.35600","35.51421","0.01161"
"4.36200","35.51474","0.01164"
"4.36800","35.51522","0.01165"
"4.37400","35.51570","0.01167"
"4.38000","35.51624","0.01170"
"4.38600","35.51672","0.01170"
"4.39200","35.51719","0.01163"
"4.39800","35.51773","0.01157"
"4.40400","35.51821","0.01151"
"4.41000","35.51875","0.01154"
"4.41600","35.51923","0.01156"
"4.42200","35.51976","0.01155"
"4.42800","35.52024","0.01155"
"4.43400","35.52072","0.01154"
"4.44000","35.52120","0.01158"
"4.44600","35.52174","0.01161"
"4.45200","35.52222","0.01162"
"4.45800","35.52270","0.01158"
"4.46400","35.52317","0.01152"
"4.47000","35.52371","0.01151"
"4.47600","35.52419","0.01153"
"4.48200","35.52467","0.01153"
"4.48800","35.52521","0.01156"
"4.49400","35.52568","0.01159"
"4.50000","35.52622","0.01158"
"4.50600","35.52676","0.01154"
"4.51200","35.52724","0.01147"
"4.51800","35.52778","0.01139"
"4.52400","35.52826","0.01131"
"4.53000","35.52879","0.01131"
"4.53600","35.52927","0.01140"
"4.54200","35.52975","0.01142"
"4.54800","35.53029","0.01140"
"4.55400","35.53077","0.01141"
"4.56000","35.53125","0.01145"
"4.56600","35.53178","0.01152"
"4.57200","35.53226","0.01150"
"4.57800","35.53274","0.01152"
"4.58400","35.53328","0.01154"
"4.59000","35.53376","0.01153"
"4.59600","35.53423","0.01154"
"4.60200","35.53471","0.01155"
"4.60800","35.53519","0.01163"
"4.61400","35.53573","0.01168"
"4.62000","35.53621","0.01164"
"4.62600","35.53669","0.01155"
"4.63200","35.53716","0.01139"
"4.63800","35.53770","0.01132"
"4.64400","35.53818","0.01135"
"4.65000","35.53872","0.01140"
