End date,"12/26/2016"
Specimen label,"11BG_81_1"
Maximum Load,"0.25816",N

Time,Extension,Load
(s),(mm),(N)
"2.94600","0.24568","0.00250"
"2.95200","0.24615","0.00269"
"2.95800","0.24669","0.00297"
"2.96400","0.24717","0.00308"
"2.97000","0.24771","0.00323"
"2.97600","0.24819","0.00340"
"2.98200","0.24866","0.00347"
"2.98800","0.24920","0.00348"
"2.99400","0.24968","0.00346"
"3.00000","0.25022","0.00346"
"3.00600","0.25070","0.00350"
"3.01200","0.25118","0.00344"
"3.01800","0.25171","0.00334"
"3.02400","0.25219","0.00323"
"3.03000","0.25273","0.00318"
"3.03600","0.25321","0.00320"
"3.04200","0.25369","0.00321"
"3.04800","0.25423","0.00317"
"3.05400","0.25470","0.00312"
"3.06000","0.25524","0.00302"
"3.06600","0.25572","0.00286"
"3.07200","0.25620","0.00282"
"3.07800","0.25674","0.00280"
"3.08400","0.25721","0.00277"
"3.09000","0.25775","0.00282"
"3.09600","0.25823","0.00282"
"3.10200","0.25871","0.00287"
"3.10800","0.25925","0.00292"
"3.11400","0.25973","0.00290"
"3.12000","0.26020","0.00292"
"3.12600","0.26074","0.00286"
"3.13200","0.26122","0.00276"
"3.13800","0.26176","0.00273"
"3.14400","0.26224","0.00259"
"3.15000","0.26278","0.00249"
"3.15600","0.26325","0.00246"
"3.16200","0.26373","0.00243"
"3.16800","0.26427","0.00256"
"3.17400","0.26475","0.00277"
"3.18000","0.26523","0.00276"
"3.18600","0.26570","0.00275"
"3.19200","0.26618","0.00279"
"3.19800","0.26672","0.00285"
"3.20400","0.26720","0.00296"
"3.21000","0.26768","0.00300"
"3.21600","0.26822","0.00300"
"3.22200","0.26869","0.00312"
"3.22800","0.26923","0.00318"
"3.23400","0.26971","0.00327"
"3.24000","0.27019","0.00327"
"3.24600","0.27067","0.00317"
"3.25200","0.27121","0.00308"
"3.25800","0.27168","0.00306"
"3.26400","0.27216","0.00307"
"3.27000","0.27270","0.00313"
"3.27600","0.27318","0.00317"
"3.28200","0.27372","0.00320"
"3.28800","0.27419","0.00316"
"3.29400","0.27473","0.00300"
"3.30000","0.27521","0.00286"
"3.30600","0.27575","0.00287"
"3.31200","0.27623","0.00276"
"3.31800","0.27671","0.00272"
"3.32400","0.27724","0.00284"
"3.33000","0.27772","0.00291"
"3.33600","0.27820","0.00307"
"3.34200","0.27868","0.00325"
"3.34800","0.27922","0.00342"
"3.35400","0.27970","0.00349"
"3.36000","0.28017","0.00347"
"3.36600","0.28071","0.00346"
"3.37200","0.28119","0.00347"
"3.37800","0.28167","0.00348"
"3.38400","0.28221","0.00336"
"3.39000","0.28268","0.00325"
"3.39600","0.28316","0.00310"
"3.40200","0.28370","0.00307"
"3.40800","0.28418","0.00315"
"3.41400","0.28472","0.00321"
"3.42000","0.28520","0.00331"
"3.42600","0.28573","0.00338"
"3.43200","0.28621","0.00338"
"3.43800","0.28669","0.00335"
"3.44400","0.28723","0.00326"
"3.45000","0.28771","0.00318"
"3.45600","0.28819","0.00321"
"3.46200","0.28872","0.00317"
"3.46800","0.28920","0.00321"
"3.47400","0.28968","0.00339"
"3.48000","0.29016","0.00353"
"3.48600","0.29070","0.00358"
"3.49200","0.29118","0.00347"
"3.49800","0.29165","0.00324"
"3.50400","0.29213","0.00311"
"3.51000","0.29267","0.00299"
"3.51600","0.29315","0.00302"
"3.52200","0.29369","0.00313"
"3.52800","0.29416","0.00318"
"3.53400","0.29464","0.00326"
"3.54000","0.29518","0.00339"
"3.54600","0.29566","0.00340"
"3.55200","0.29620","0.00336"
"3.55800","0.29668","0.00326"
"3.56400","0.29721","0.00311"
"3.57000","0.29769","0.00314"
"3.57600","0.29823","0.00316"
"3.58200","0.29871","0.00323"
"3.58800","0.29919","0.00337"
"3.59400","0.29972","0.00340"
"3.60000","0.30020","0.00335"
"3.60600","0.30068","0.00341"
"3.61200","0.30122","0.00335"
"3.61800","0.30170","0.00341"
"3.62400","0.30218","0.00355"
"3.63000","0.30271","0.00363"
"3.63600","0.30319","0.00364"
"3.64200","0.30373","0.00351"
"3.64800","0.30421","0.00330"
"3.65400","0.30469","0.00331"
"3.66000","0.30523","0.00333"
"3.66600","0.30570","0.00327"
"3.67200","0.30618","0.00325"
"3.67800","0.30672","0.00320"
"3.68400","0.30720","0.00324"
"3.69000","0.30768","0.00328"
"3.69600","0.30822","0.00320"
"3.70200","0.30869","0.00321"
"3.70800","0.30923","0.00324"
"3.71400","0.30977","0.00317"
"3.72000","0.31025","0.00315"
"3.72600","0.31073","0.00309"
"3.73200","0.31126","0.00306"
"3.73800","0.31174","0.00314"
"3.74400","0.31228","0.00320"
"3.75000","0.31276","0.00323"
"3.75600","0.31324","0.00319"
"3.76200","0.31378","0.00313"
"3.76800","0.31425","0.00312"
"3.77400","0.31473","0.00307"
"3.78000","0.31527","0.00287"
"3.78600","0.31575","0.00271"
"3.79200","0.31623","0.00262"
"3.79800","0.31671","0.00257"
"3.80400","0.31724","0.00265"
"3.81000","0.31772","0.00279"
"3.81600","0.31820","0.00282"
"3.82200","0.31868","0.00293"
"3.82800","0.31922","0.00306"
"3.83400","0.31969","0.00318"
"3.84000","0.32017","0.00340"
"3.84600","0.32071","0.00348"
"3.85200","0.32119","0.00349"
"3.85800","0.32173","0.00353"
"3.86400","0.32221","0.00352"
"3.87000","0.32274","0.00351"
"3.87600","0.32322","0.00337"
"3.88200","0.32370","0.00317"
"3.88800","0.32424","0.00309"
"3.89400","0.32472","0.00295"
"3.90000","0.32520","0.00284"
"3.90600","0.32567","0.00283"
"3.91200","0.32621","0.00286"
"3.91800","0.32669","0.00299"
"3.92400","0.32717","0.00314"
"3.93000","0.32771","0.00317"
"3.93600","0.32818","0.00311"
"3.94200","0.32866","0.00305"
"3.94800","0.32920","0.00303"
"3.95400","0.32968","0.00316"
"3.96000","0.33016","0.00330"
"3.96600","0.33070","0.00336"
"3.97200","0.33117","0.00341"
"3.97800","0.33165","0.00345"
"3.98400","0.33219","0.00346"
"3.99000","0.33267","0.00338"
"3.99600","0.33315","0.00319"
"4.00200","0.33369","0.00300"
"4.00800","0.33416","0.00289"
"4.01400","0.33470","0.00281"
"4.02000","0.33518","0.00283"
"4.02600","0.33572","0.00292"
"4.03200","0.33620","0.00303"
"4.03800","0.33667","0.00322"
"4.04400","0.33721","0.00323"
"4.05000","0.33769","0.00316"
"4.05600","0.33817","0.00305"
"4.06200","0.33865","0.00307"
"4.06800","0.33913","0.00319"
"4.07400","0.33966","0.00325"
"4.08000","0.34014","0.00332"
"4.08600","0.34068","0.00343"
"4.09200","0.34116","0.00351"
"4.09800","0.34164","0.00339"
"4.10400","0.34218","0.00321"
"4.11000","0.34265","0.00302"
"4.11600","0.34319","0.00288"
"4.12200","0.34367","0.00309"
"4.12800","0.34421","0.00331"
"4.13400","0.34469","0.00344"
"4.14000","0.34522","0.00348"
"4.14600","0.34570","0.00342"
"4.15200","0.34624","0.00331"
"4.15800","0.34672","0.00318"
"4.16400","0.34726","0.00294"
"4.17000","0.34774","0.00277"
"4.17600","0.34827","0.00274"
"4.18200","0.34875","0.00283"
"4.18800","0.34923","0.00296"
"4.19400","0.34977","0.00296"
"4.20000","0.35025","0.00297"
"4.20600","0.35073","0.00309"
"4.21200","0.35120","0.00312"
"4.21800","0.35168","0.00319"
"4.22400","0.35222","0.00314"
"4.23000","0.35270","0.00300"
"4.23600","0.35318","0.00293"
"4.24200","0.35366","0.00294"
"4.24800","0.35419","0.00302"
"4.25400","0.35467","0.00326"
"4.26000","0.35515","0.00344"
"4.26600","0.35569","0.00347"
"4.27200","0.35617","0.00351"
"4.27800","0.35664","0.00355"
"4.28400","0.35718","0.00365"
"4.29000","0.35772","0.00367"
"4.29600","0.35820","0.00354"
"4.30200","0.35874","0.00339"
"4.30800","0.35922","0.00327"
"4.31400","0.35969","0.00304"
"4.32000","0.36023","0.00297"
"4.32600","0.36071","0.00299"
"4.33200","0.36125","0.00298"
"4.33800","0.36173","0.00299"
"4.34400","0.36220","0.00284"
"4.35000","0.36268","0.00277"
"4.35600","0.36316","0.00283"
"4.36200","0.36364","0.00287"
"4.36800","0.36418","0.00306"
"4.37400","0.36466","0.00321"
"4.38000","0.36513","0.00327"
"4.38600","0.36567","0.00326"
"4.39200","0.36615","0.00319"
"4.39800","0.36663","0.00312"
"4.40400","0.36717","0.00307"
"4.41000","0.36765","0.00307"
"4.41600","0.36818","0.00304"
"4.42200","0.36866","0.00304"
"4.42800","0.36920","0.00294"
"4.43400","0.36968","0.00291"
"4.44000","0.37022","0.00293"
"4.44600","0.37070","0.00292"
"4.45200","0.37117","0.00288"
"4.45800","0.37171","0.00291"
"4.46400","0.37219","0.00310"
"4.47000","0.37267","0.00333"
"4.47600","0.37315","0.00359"
"4.48200","0.37368","0.00378"
"4.48800","0.37416","0.00386"
"4.49400","0.37464","0.00389"
"4.50000","0.37512","0.00393"
"4.50600","0.37566","0.00403"
"4.51200","0.37614","0.00396"
"4.51800","0.37661","0.00393"
"4.52400","0.37715","0.00397"
"4.53000","0.37763","0.00392"
"4.53600","0.37811","0.00394"
"4.54200","0.37865","0.00389"
"4.54800","0.37913","0.00385"
"4.55400","0.37960","0.00397"
"4.56000","0.38014","0.00390"
"4.56600","0.38062","0.00369"
"4.57200","0.38116","0.00365"
"4.57800","0.38170","0.00359"
"4.58400","0.38223","0.00356"
"4.59000","0.38271","0.00350"
"4.59600","0.38325","0.00345"
"4.60200","0.38373","0.00351"
"4.60800","0.38427","0.00365"
"4.61400","0.38475","0.00362"
"4.62000","0.38522","0.00361"
"4.62600","0.38570","0.00349"
"4.63200","0.38624","0.00339"
"4.63800","0.38672","0.00337"
"4.64400","0.38720","0.00330"
"4.65000","0.38774","0.00323"
"4.65600","0.38821","0.00326"
"4.66200","0.38869","0.00316"
"4.66800","0.38917","0.00307"
"4.67400","0.38971","0.00308"
"4.68000","0.39019","0.00315"
"4.68600","0.39066","0.00333"
"4.69200","0.39120","0.00357"
"4.69800","0.39168","0.00369"
"4.70400","0.39222","0.00376"
"4.71000","0.39270","0.00372"
"4.71600","0.39324","0.00374"
"4.72200","0.39371","0.00385"
"4.72800","0.39425","0.00395"
"4.73400","0.39473","0.00396"
"4.74000","0.39527","0.00402"
"4.74600","0.39575","0.00387"
"4.75200","0.39623","0.00366"
"4.75800","0.39676","0.00353"
"4.76400","0.39724","0.00346"
"4.77000","0.39772","0.00355"
"4.77600","0.39820","0.00349"
"4.78200","0.39868","0.00333"
"4.78800","0.39921","0.00325"
"4.79400","0.39969","0.00320"
"4.80000","0.40017","0.00319"
"4.80600","0.40071","0.00326"
"4.81200","0.40119","0.00325"
"4.81800","0.40167","0.00328"
