End date,"12/21/2016"
Specimen label,"24T_90"
Maximum Load,"1.06486",N

Time,Extension,Load
(s),(mm),(N)
"2.71800","0.22666","0.00141"
"2.72400","0.22720","0.00139"
"2.73000","0.22768","0.00133"
"2.73600","0.22822","0.00129"
"2.74200","0.22869","0.00140"
"2.74800","0.22917","0.00150"
"2.75400","0.22971","0.00161"
"2.76000","0.23019","0.00169"
"2.76600","0.23067","0.00172"
"2.77200","0.23115","0.00174"
"2.77800","0.23162","0.00171"
"2.78400","0.23216","0.00178"
"2.79000","0.23264","0.00185"
"2.79600","0.23312","0.00176"
"2.80200","0.23360","0.00167"
"2.80800","0.23414","0.00167"
"2.81400","0.23461","0.00160"
"2.82000","0.23509","0.00156"
"2.82600","0.23563","0.00152"
"2.83200","0.23611","0.00140"
"2.83800","0.23659","0.00136"
"2.84400","0.23713","0.00132"
"2.85000","0.23760","0.00130"
"2.85600","0.23808","0.00136"
"2.86200","0.23862","0.00135"
"2.86800","0.23910","0.00133"
"2.87400","0.23964","0.00143"
"2.88000","0.24011","0.00141"
"2.88600","0.24065","0.00125"
"2.89200","0.24113","0.00113"
"2.89800","0.24167","0.00102"
"2.90400","0.24215","0.00101"
"2.91000","0.24263","0.00108"
"2.91600","0.24310","0.00111"
"2.92200","0.24364","0.00115"
"2.92800","0.24412","0.00112"
"2.93400","0.24460","0.00106"
"2.94000","0.24508","0.00112"
"2.94600","0.24562","0.00113"
"2.95200","0.24609","0.00123"
"2.95800","0.24663","0.00145"
"2.96400","0.24711","0.00157"
"2.97000","0.24759","0.00164"
"2.97600","0.24813","0.00165"
"2.98200","0.24860","0.00166"
"2.98800","0.24914","0.00165"
"2.99400","0.24962","0.00168"
"3.00000","0.25016","0.00164"
"3.00600","0.25064","0.00168"
"3.01200","0.25118","0.00169"
"3.01800","0.25165","0.00169"
"3.02400","0.25219","0.00178"
"3.03000","0.25267","0.00187"
"3.03600","0.25321","0.00181"
"3.04200","0.25369","0.00175"
"3.04800","0.25417","0.00159"
