End date,"12/23/2016"
Specimen label,"21AT_UNK"
Maximum Load,"0.00834",N

Time,Extension,Load
(s),(mm),(N)
"3.02400","0.25207","-0.00005"
"3.03000","0.25255","0.00002"
"3.03600","0.25309","0.00004"
"3.04200","0.25357","0.00004"
"3.04800","0.25411","-0.00009"
"3.05400","0.25458","-0.00028"
"3.06000","0.25506","-0.00035"
"3.06600","0.25560","-0.00029"
"3.07200","0.25608","-0.00022"
"3.07800","0.25656","-0.00017"
"3.08400","0.25710","-0.00007"
"3.09000","0.25757","-0.00012"
"3.09600","0.25805","-0.00010"
"3.10200","0.25859","-0.00005"
"3.10800","0.25907","-0.00007"
"3.11400","0.25961","-0.00007"
"3.12000","0.26008","-0.00017"
"3.12600","0.26062","-0.00024"
"3.13200","0.26110","-0.00023"
"3.13800","0.26158","-0.00031"
"3.14400","0.26212","-0.00035"
"3.15000","0.26260","-0.00039"
"3.15600","0.26313","-0.00043"
"3.16200","0.26361","-0.00037"
"3.16800","0.26415","-0.00030"
"3.17400","0.26463","-0.00026"
"3.18000","0.26517","-0.00024"
"3.18600","0.26564","-0.00021"
"3.19200","0.26612","-0.00026"
"3.19800","0.26666","-0.00031"
"3.20400","0.26714","-0.00047"
"3.21000","0.26762","-0.00063"
"3.21600","0.26816","-0.00067"
"3.22200","0.26863","-0.00070"
"3.22800","0.26917","-0.00064"
"3.23400","0.26965","-0.00048"
"3.24000","0.27013","-0.00042"
"3.24600","0.27061","-0.00037"
"3.25200","0.27109","-0.00037"
"3.25800","0.27162","-0.00042"
"3.26400","0.27210","-0.00040"
"3.27000","0.27258","-0.00039"
"3.27600","0.27312","-0.00030"
"3.28200","0.27360","-0.00016"
"3.28800","0.27413","-0.00006"
"3.29400","0.27461","0.00001"
"3.30000","0.27509","0.00009"
"3.30600","0.27563","0.00003"
"3.31200","0.27611","-0.00001"
"3.31800","0.27665","-0.00002"
"3.32400","0.27712","-0.00007"
"3.33000","0.27760","-0.00002"
"3.33600","0.27814","0.00004"
"3.34200","0.27862","0.00009"
"3.34800","0.27916","0.00015"
"3.35400","0.27964","0.00012"
"3.36000","0.28011","0.00006"
"3.36600","0.28065","0.00003"
"3.37200","0.28113","-0.00007"
"3.37800","0.28161","-0.00012"
"3.38400","0.28209","-0.00009"
"3.39000","0.28263","-0.00017"
"3.39600","0.28310","-0.00021"
"3.40200","0.28358","-0.00017"
"3.40800","0.28412","-0.00014"
"3.41400","0.28460","-0.00014"
"3.42000","0.28508","-0.00013"
"3.42600","0.28561","-0.00007"
"3.43200","0.28609","0.00006"
"3.43800","0.28663","0.00009"
"3.44400","0.28711","0.00004"
"3.45000","0.28765","-0.00011"
"3.45600","0.28813","-0.00024"
"3.46200","0.28866","-0.00024"
"3.46800","0.28914","-0.00018"
"3.47400","0.28962","-0.00020"
"3.48000","0.29010","-0.00021"
"3.48600","0.29064","-0.00025"
"3.49200","0.29112","-0.00029"
"3.49800","0.29159","-0.00024"
"3.50400","0.29213","-0.00026"
"3.51000","0.29261","-0.00026"
"3.51600","0.29309","-0.00026"
"3.52200","0.29363","-0.00034"
"3.52800","0.29410","-0.00041"
"3.53400","0.29458","-0.00045"
"3.54000","0.29506","-0.00052"
"3.54600","0.29554","-0.00056"
"3.55200","0.29608","-0.00053"
"3.55800","0.29656","-0.00045"
"3.56400","0.29703","-0.00042"
"3.57000","0.29757","-0.00038"
"3.57600","0.29805","-0.00024"
"3.58200","0.29859","0.00000"
"3.58800","0.29907","-0.00004"
"3.59400","0.29961","-0.00010"
"3.60000","0.30008","0.00003"
"3.60600","0.30062","0.00019"
"3.61200","0.30110","0.00032"
"3.61800","0.30158","0.00039"
"3.62400","0.30212","0.00036"
"3.63000","0.30259","0.00037"
"3.63600","0.30313","0.00031"
"3.64200","0.30361","0.00023"
"3.64800","0.30409","0.00023"
"3.65400","0.30457","0.00022"
"3.66000","0.30511","0.00016"
"3.66600","0.30558","0.00013"
"3.67200","0.30606","0.00003"
"3.67800","0.30660","-0.00003"
"3.68400","0.30708","-0.00004"
"3.69000","0.30762","-0.00009"
"3.69600","0.30810","-0.00014"
"3.70200","0.30863","-0.00012"
"3.70800","0.30911","-0.00018"
"3.71400","0.30965","-0.00016"
"3.72000","0.31019","-0.00022"
"3.72600","0.31067","-0.00033"
"3.73200","0.31120","-0.00048"
"3.73800","0.31168","-0.00064"
"3.74400","0.31216","-0.00070"
"3.75000","0.31270","-0.00065"
"3.75600","0.31318","-0.00066"
"3.76200","0.31372","-0.00064"
"3.76800","0.31419","-0.00059"
"3.77400","0.31467","-0.00057"
"3.78000","0.31515","-0.00052"
"3.78600","0.31569","-0.00043"
"3.79200","0.31617","-0.00040"
"3.79800","0.31665","-0.00045"
"3.80400","0.31712","-0.00047"
"3.81000","0.31760","-0.00040"
"3.81600","0.31814","-0.00026"
"3.82200","0.31862","-0.00018"
"3.82800","0.31910","-0.00013"
"3.83400","0.31958","-0.00015"
"3.84000","0.32011","-0.00020"
"3.84600","0.32059","-0.00022"
"3.85200","0.32113","-0.00018"
"3.85800","0.32161","-0.00015"
"3.86400","0.32215","-0.00010"
"3.87000","0.32268","-0.00005"
"3.87600","0.32316","0.00002"
"3.88200","0.32370","0.00003"
"3.88800","0.32418","-0.00010"
"3.89400","0.32466","-0.00011"
"3.90000","0.32520","0.00004"
"3.90600","0.32567","0.00006"
"3.91200","0.32615","0.00010"
"3.91800","0.32663","0.00013"
"3.92400","0.32717","0.00013"
"3.93000","0.32765","0.00012"
"3.93600","0.32812","0.00009"
"3.94200","0.32860","0.00001"
"3.94800","0.32914","-0.00004"
"3.95400","0.32962","-0.00010"
"3.96000","0.33010","-0.00006"
"3.96600","0.33058","-0.00007"
"3.97200","0.33111","-0.00014"
"3.97800","0.33159","-0.00013"
"3.98400","0.33207","-0.00007"
"3.99000","0.33255","-0.00018"
"3.99600","0.33309","-0.00033"
"4.00200","0.33357","-0.00044"
"4.00800","0.33410","-0.00050"
"4.01400","0.33458","-0.00053"
"4.02000","0.33512","-0.00057"
"4.02600","0.33560","-0.00055"
"4.03200","0.33614","-0.00050"
"4.03800","0.33662","-0.00049"
"4.04400","0.33709","-0.00037"
"4.05000","0.33757","-0.00018"
"4.05600","0.33805","-0.00011"
"4.06200","0.33859","-0.00002"
"4.06800","0.33907","0.00009"
"4.07400","0.33954","0.00015"
"4.08000","0.34002","0.00019"
"4.08600","0.34056","0.00013"
"4.09200","0.34104","-0.00002"
"4.09800","0.34158","-0.00001"
"4.10400","0.34206","-0.00004"
"4.11000","0.34253","-0.00003"
"4.11600","0.34301","0.00004"
"4.12200","0.34355","-0.00005"
"4.12800","0.34403","-0.00016"
"4.13400","0.34451","-0.00022"
"4.14000","0.34505","-0.00030"
"4.14600","0.34552","-0.00038"
"4.15200","0.34606","-0.00049"
"4.15800","0.34660","-0.00053"
"4.16400","0.34708","-0.00051"
"4.17000","0.34762","-0.00046"
"4.17600","0.34815","-0.00038"
"4.18200","0.34863","-0.00023"
"4.18800","0.34911","-0.00025"
"4.19400","0.34965","-0.00029"
"4.20000","0.35013","-0.00030"
"4.20600","0.35061","-0.00030"
"4.21200","0.35108","-0.00019"
"4.21800","0.35162","-0.00012"
"4.22400","0.35210","-0.00010"
"4.23000","0.35264","-0.00001"
"4.23600","0.35312","0.00002"
"4.24200","0.35366","0.00009"
"4.24800","0.35413","0.00023"
"4.25400","0.35461","0.00022"
"4.26000","0.35515","0.00014"
"4.26600","0.35563","0.00006"
"4.27200","0.35611","-0.00004"
"4.27800","0.35664","-0.00010"
"4.28400","0.35712","-0.00008"
"4.29000","0.35766","-0.00011"
"4.29600","0.35814","-0.00012"
"4.30200","0.35868","-0.00018"
"4.30800","0.35916","-0.00023"
"4.31400","0.35969","-0.00018"
"4.32000","0.36017","-0.00025"
"4.32600","0.36071","-0.00033"
"4.33200","0.36119","-0.00039"
"4.33800","0.36167","-0.00054"
"4.34400","0.36215","-0.00055"
"4.35000","0.36262","-0.00041"
"4.35600","0.36310","-0.00034"
"4.36200","0.36364","-0.00029"
"4.36800","0.36412","-0.00032"
"4.37400","0.36460","-0.00039"
"4.38000","0.36513","-0.00039"
"4.38600","0.36561","-0.00036"
"4.39200","0.36615","-0.00031"
"4.39800","0.36663","-0.00015"
"4.40400","0.36717","-0.00014"
"4.41000","0.36765","-0.00014"
"4.41600","0.36812","0.00001"
"4.42200","0.36866","0.00014"
"4.42800","0.36914","0.00018"
"4.43400","0.36968","0.00024"
"4.44000","0.37016","0.00019"
"4.44600","0.37070","0.00015"
"4.45200","0.37117","0.00020"
"4.45800","0.37165","0.00028"
"4.46400","0.37219","0.00036"
"4.47000","0.37267","0.00036"
"4.47600","0.37321","0.00028"
"4.48200","0.37368","0.00028"
"4.48800","0.37416","0.00016"
"4.49400","0.37464","0.00006"
"4.50000","0.37512","-0.00004"
"4.50600","0.37566","-0.00027"
"4.51200","0.37614","-0.00036"
"4.51800","0.37661","-0.00031"
"4.52400","0.37715","-0.00022"
"4.53000","0.37763","-0.00008"
"4.53600","0.37811","0.00004"
"4.54200","0.37859","0.00014"
"4.54800","0.37913","0.00018"
"4.55400","0.37960","0.00015"
"4.56000","0.38008","0.00009"
"4.56600","0.38062","0.00007"
"4.57200","0.38110","-0.00006"
"4.57800","0.38158","-0.00016"
"4.58400","0.38211","-0.00017"
"4.59000","0.38259","-0.00021"
"4.59600","0.38313","-0.00017"
"4.60200","0.38361","-0.00011"
"4.60800","0.38415","-0.00009"
"4.61400","0.38463","-0.00001"
