End date,"1/22/2017"
Specimen label,"3CT_17_run2"
Maximum Load,"0.29793",N

Time,Extension,Load
(s),(mm),(N)
"3.95400","11.02758","0.04256"
"3.96000","11.02806","0.04240"
"3.96600","11.02860","0.04228"
"3.97200","11.02908","0.04210"
"3.97800","11.02955","0.04200"
"3.98400","11.03003","0.04195"
"3.99000","11.03057","0.04194"
"3.99600","11.03105","0.04191"
"4.00200","11.03159","0.04187"
"4.00800","11.03207","0.04187"
"4.01400","11.03254","0.04189"
"4.02000","11.03308","0.04182"
"4.02600","11.03356","0.04174"
"4.03200","11.03410","0.04177"
"4.03800","11.03458","0.04184"
"4.04400","11.03506","0.04194"
"4.05000","11.03559","0.04199"
"4.05600","11.03607","0.04205"
"4.06200","11.03655","0.04214"
"4.06800","11.03709","0.04220"
"4.07400","11.03757","0.04222"
"4.08000","11.03811","0.04217"
"4.08600","11.03858","0.04208"
"4.09200","11.03912","0.04204"
"4.09800","11.03960","0.04206"
"4.10400","11.04008","0.04208"
"4.11000","11.04062","0.04213"
"4.11600","11.04109","0.04223"
"4.12200","11.04157","0.04229"
"4.12800","11.04211","0.04235"
"4.13400","11.04259","0.04233"
"4.14000","11.04307","0.04229"
"4.14600","11.04361","0.04228"
"4.15200","11.04408","0.04222"
"4.15800","11.04456","0.04217"
"4.16400","11.04510","0.04213"
"4.17000","11.04558","0.04208"
"4.17600","11.04611","0.04200"
"4.18200","11.04659","0.04206"
"4.18800","11.04707","0.04222"
"4.19400","11.04761","0.04242"
"4.20000","11.04809","0.04254"
"4.20600","11.04863","0.04266"
"4.21200","11.04910","0.04275"
"4.21800","11.04958","0.04285"
"4.22400","11.05012","0.04287"
"4.23000","11.05060","0.04285"
"4.23600","11.05108","0.04286"
"4.24200","11.05162","0.04282"
"4.24800","11.05209","0.04291"
"4.25400","11.05257","0.04306"
"4.26000","11.05305","0.04322"
"4.26600","11.05353","0.04327"
"4.27200","11.05407","0.04334"
"4.27800","11.05455","0.04339"
"4.28400","11.05502","0.04344"
"4.29000","11.05556","0.04353"
"4.29600","11.05604","0.04367"
"4.30200","11.05658","0.04371"
"4.30800","11.05706","0.04375"
"4.31400","11.05760","0.04386"
"4.32000","11.05807","0.04393"
"4.32600","11.05861","0.04399"
"4.33200","11.05909","0.04401"
"4.33800","11.05963","0.04404"
"4.34400","11.06011","0.04406"
"4.35000","11.06065","0.04407"
"4.35600","11.06112","0.04412"
"4.36200","11.06160","0.04415"
"4.36800","11.06214","0.04411"
"4.37400","11.06262","0.04412"
"4.38000","11.06310","0.04422"
"4.38600","11.06363","0.04423"
"4.39200","11.06411","0.04427"
"4.39800","11.06459","0.04437"
"4.40400","11.06513","0.04446"
"4.41000","11.06561","0.04448"
"4.41600","11.06609","0.04448"
"4.42200","11.06662","0.04452"
"4.42800","11.06710","0.04455"
"4.43400","11.06758","0.04448"
"4.44000","11.06812","0.04430"
"4.44600","11.06860","0.04418"
"4.45200","11.06908","0.04404"
"4.45800","11.06961","0.04400"
"4.46400","11.07009","0.04395"
"4.47000","11.07057","0.04395"
"4.47600","11.07111","0.04407"
"4.48200","11.07159","0.04416"
"4.48800","11.07213","0.04417"
"4.49400","11.07260","0.04410"
"4.50000","11.07308","0.04410"
"4.50600","11.07362","0.04407"
"4.51200","11.07410","0.04397"
"4.51800","11.07458","0.04391"
"4.52400","11.07505","0.04388"
"4.53000","11.07553","0.04385"
"4.53600","11.07607","0.04375"
"4.54200","11.07655","0.04361"
"4.54800","11.07703","0.04355"
"4.55400","11.07757","0.04356"
"4.56000","11.07804","0.04354"
"4.56600","11.07852","0.04352"
"4.57200","11.07906","0.04345"
"4.57800","11.07954","0.04340"
"4.58400","11.08002","0.04343"
"4.59000","11.08049","0.04344"
"4.59600","11.08103","0.04340"
"4.60200","11.08151","0.04330"
"4.60800","11.08199","0.04327"
