End date,"2/26/2017"
Specimen label,"6AT_44"
Maximum Load,"0.06217",N

Time,Extension,Load
(s),(mm),(N)
"3.10800","0.25919","0.00239"
"3.11400","0.25967","0.00241"
"3.12000","0.26020","0.00243"
"3.12600","0.26068","0.00241"
"3.13200","0.26116","0.00234"
"3.13800","0.26170","0.00232"
"3.14400","0.26218","0.00224"
"3.15000","0.26272","0.00216"
"3.15600","0.26319","0.00213"
"3.16200","0.26373","0.00227"
"3.16800","0.26421","0.00257"
"3.17400","0.26469","0.00272"
"3.18000","0.26523","0.00271"
"3.18600","0.26570","0.00261"
"3.19200","0.26618","0.00254"
"3.19800","0.26672","0.00247"
"3.20400","0.26720","0.00233"
"3.21000","0.26768","0.00220"
"3.21600","0.26822","0.00215"
"3.22200","0.26869","0.00218"
"3.22800","0.26917","0.00218"
"3.23400","0.26971","0.00223"
"3.24000","0.27019","0.00231"
"3.24600","0.27067","0.00226"
"3.25200","0.27115","0.00237"
"3.25800","0.27168","0.00255"
"3.26400","0.27216","0.00263"
"3.27000","0.27264","0.00264"
"3.27600","0.27318","0.00275"
"3.28200","0.27366","0.00282"
"3.28800","0.27413","0.00281"
"3.29400","0.27467","0.00277"
"3.30000","0.27515","0.00278"
"3.30600","0.27563","0.00274"
"3.31200","0.27617","0.00273"
"3.31800","0.27665","0.00274"
"3.32400","0.27712","0.00272"
"3.33000","0.27766","0.00268"
"3.33600","0.27814","0.00281"
"3.34200","0.27862","0.00290"
"3.34800","0.27916","0.00285"
"3.35400","0.27964","0.00280"
"3.36000","0.28011","0.00285"
"3.36600","0.28065","0.00291"
"3.37200","0.28113","0.00290"
"3.37800","0.28167","0.00276"
"3.38400","0.28215","0.00261"
"3.39000","0.28263","0.00250"
"3.39600","0.28316","0.00244"
"3.40200","0.28364","0.00252"
"3.40800","0.28412","0.00262"
"3.41400","0.28460","0.00269"
"3.42000","0.28514","0.00261"
"3.42600","0.28561","0.00253"
"3.43200","0.28615","0.00245"
"3.43800","0.28663","0.00235"
"3.44400","0.28711","0.00228"
"3.45000","0.28765","0.00244"
"3.45600","0.28813","0.00265"
"3.46200","0.28866","0.00279"
"3.46800","0.28914","0.00292"
"3.47400","0.28962","0.00304"
"3.48000","0.29016","0.00306"
"3.48600","0.29064","0.00304"
"3.49200","0.29118","0.00300"
"3.49800","0.29165","0.00290"
"3.50400","0.29213","0.00276"
"3.51000","0.29267","0.00269"
"3.51600","0.29315","0.00271"
"3.52200","0.29369","0.00266"
"3.52800","0.29416","0.00268"
"3.53400","0.29470","0.00276"
"3.54000","0.29518","0.00287"
"3.54600","0.29566","0.00300"
"3.55200","0.29620","0.00310"
"3.55800","0.29668","0.00302"
"3.56400","0.29715","0.00292"
"3.57000","0.29769","0.00276"
"3.57600","0.29817","0.00266"
"3.58200","0.29871","0.00279"
"3.58800","0.29919","0.00296"
"3.59400","0.29967","0.00311"
"3.60000","0.30020","0.00319"
"3.60600","0.30068","0.00320"
"3.61200","0.30116","0.00318"
"3.61800","0.30164","0.00330"
"3.62400","0.30218","0.00334"
"3.63000","0.30265","0.00333"
"3.63600","0.30319","0.00334"
"3.64200","0.30367","0.00325"
"3.64800","0.30421","0.00314"
"3.65400","0.30469","0.00301"
"3.66000","0.30523","0.00294"
"3.66600","0.30570","0.00284"
"3.67200","0.30624","0.00278"
"3.67800","0.30672","0.00298"
"3.68400","0.30726","0.00337"
"3.69000","0.30774","0.00365"
"3.69600","0.30822","0.00361"
"3.70200","0.30869","0.00338"
"3.70800","0.30923","0.00312"
"3.71400","0.30971","0.00294"
"3.72000","0.31019","0.00283"
"3.72600","0.31067","0.00272"
"3.73200","0.31120","0.00265"
"3.73800","0.31168","0.00259"
"3.74400","0.31216","0.00252"
"3.75000","0.31270","0.00244"
"3.75600","0.31318","0.00238"
"3.76200","0.31366","0.00232"
"3.76800","0.31419","0.00237"
"3.77400","0.31467","0.00252"
"3.78000","0.31515","0.00262"
"3.78600","0.31569","0.00267"
"3.79200","0.31617","0.00274"
"3.79800","0.31665","0.00281"
"3.80400","0.31718","0.00267"
"3.81000","0.31766","0.00272"
"3.81600","0.31820","0.00286"
"3.82200","0.31868","0.00290"
"3.82800","0.31916","0.00289"
"3.83400","0.31963","0.00294"
"3.84000","0.32017","0.00302"
"3.84600","0.32065","0.00300"
"3.85200","0.32113","0.00294"
"3.85800","0.32161","0.00279"
"3.86400","0.32209","0.00272"
"3.87000","0.32262","0.00281"
"3.87600","0.32310","0.00306"
"3.88200","0.32358","0.00321"
"3.88800","0.32412","0.00315"
"3.89400","0.32460","0.00307"
"3.90000","0.32508","0.00301"
"3.90600","0.32561","0.00287"
"3.91200","0.32609","0.00283"
"3.91800","0.32663","0.00298"
"3.92400","0.32711","0.00319"
"3.93000","0.32759","0.00332"
"3.93600","0.32812","0.00328"
"3.94200","0.32860","0.00319"
"3.94800","0.32914","0.00311"
"3.95400","0.32962","0.00300"
"3.96000","0.33016","0.00294"
"3.96600","0.33064","0.00292"
"3.97200","0.33117","0.00297"
"3.97800","0.33165","0.00305"
"3.98400","0.33219","0.00311"
"3.99000","0.33267","0.00299"
"3.99600","0.33315","0.00296"
"4.00200","0.33363","0.00305"
"4.00800","0.33416","0.00314"
"4.01400","0.33464","0.00316"
"4.02000","0.33518","0.00314"
"4.02600","0.33566","0.00321"
"4.03200","0.33614","0.00329"
"4.03800","0.33667","0.00325"
"4.04400","0.33715","0.00305"
"4.05000","0.33769","0.00287"
"4.05600","0.33817","0.00274"
"4.06200","0.33871","0.00253"
"4.06800","0.33919","0.00238"
"4.07400","0.33972","0.00242"
"4.08000","0.34020","0.00259"
"4.08600","0.34074","0.00272"
"4.09200","0.34122","0.00281"
"4.09800","0.34176","0.00287"
"4.10400","0.34224","0.00300"
"4.11000","0.34271","0.00301"
"4.11600","0.34325","0.00310"
"4.12200","0.34373","0.00306"
"4.12800","0.34421","0.00297"
"4.13400","0.34469","0.00290"
"4.14000","0.34522","0.00294"
"4.14600","0.34570","0.00295"
"4.15200","0.34618","0.00290"
"4.15800","0.34666","0.00284"
"4.16400","0.34720","0.00276"
"4.17000","0.34768","0.00274"
"4.17600","0.34815","0.00276"
"4.18200","0.34869","0.00279"
"4.18800","0.34917","0.00287"
"4.19400","0.34965","0.00304"
"4.20000","0.35019","0.00323"
"4.20600","0.35067","0.00339"
"4.21200","0.35114","0.00337"
"4.21800","0.35168","0.00323"
"4.22400","0.35216","0.00315"
"4.23000","0.35270","0.00317"
"4.23600","0.35318","0.00325"
"4.24200","0.35371","0.00333"
"4.24800","0.35419","0.00344"
"4.25400","0.35473","0.00352"
"4.26000","0.35521","0.00340"
"4.26600","0.35569","0.00327"
"4.27200","0.35623","0.00314"
"4.27800","0.35670","0.00294"
"4.28400","0.35718","0.00286"
