End date,"12/23/2016"
Specimen label,"17BC_36"
Maximum Load,"1.60068",N

Time,Extension,Load
(s),(mm),(N)
"4.71600","0.39324","0.00920"
"4.72200","0.39371","0.00913"
"4.72800","0.39425","0.00909"
"4.73400","0.39473","0.00902"
"4.74000","0.39527","0.00899"
"4.74600","0.39575","0.00896"
"4.75200","0.39623","0.00891"
"4.75800","0.39670","0.00902"
"4.76400","0.39724","0.00919"
"4.77000","0.39772","0.00941"
"4.77600","0.39820","0.00952"
"4.78200","0.39868","0.00955"
"4.78800","0.39915","0.00958"
"4.79400","0.39969","0.00959"
"4.80000","0.40017","0.00963"
"4.80600","0.40065","0.00969"
"4.81200","0.40119","0.00967"
