End date,"12/23/2016"
Specimen label,"24DG_92"
Maximum Load,"0.21653",N

Time,Extension,Load
(s),(mm),(N)
"3.25800","0.27168","0.00223"
"3.26400","0.27216","0.00236"
"3.27000","0.27270","0.00248"
"3.27600","0.27318","0.00258"
"3.28200","0.27366","0.00272"
"3.28800","0.27419","0.00281"
"3.29400","0.27467","0.00287"
"3.30000","0.27515","0.00279"
"3.30600","0.27569","0.00265"
"3.31200","0.27617","0.00253"
"3.31800","0.27665","0.00238"
"3.32400","0.27718","0.00228"
"3.33000","0.27766","0.00230"
"3.33600","0.27814","0.00227"
"3.34200","0.27868","0.00224"
"3.34800","0.27916","0.00227"
"3.35400","0.27964","0.00230"
"3.36000","0.28011","0.00232"
"3.36600","0.28065","0.00234"
"3.37200","0.28113","0.00228"
"3.37800","0.28161","0.00228"
"3.38400","0.28209","0.00236"
"3.39000","0.28263","0.00240"
"3.39600","0.28310","0.00245"
"3.40200","0.28364","0.00245"
"3.40800","0.28412","0.00236"
"3.41400","0.28460","0.00224"
"3.42000","0.28514","0.00215"
"3.42600","0.28561","0.00221"
"3.43200","0.28615","0.00226"
"3.43800","0.28669","0.00229"
"3.44400","0.28717","0.00234"
"3.45000","0.28771","0.00235"
"3.45600","0.28819","0.00233"
"3.46200","0.28872","0.00238"
"3.46800","0.28920","0.00236"
"3.47400","0.28974","0.00238"
"3.48000","0.29022","0.00245"
"3.48600","0.29070","0.00242"
"3.49200","0.29123","0.00240"
"3.49800","0.29171","0.00247"
"3.50400","0.29225","0.00245"
"3.51000","0.29273","0.00240"
"3.51600","0.29321","0.00239"
"3.52200","0.29375","0.00236"
"3.52800","0.29422","0.00243"
"3.53400","0.29470","0.00247"
"3.54000","0.29518","0.00242"
"3.54600","0.29572","0.00240"
"3.55200","0.29620","0.00228"
"3.55800","0.29674","0.00213"
"3.56400","0.29721","0.00211"
"3.57000","0.29775","0.00207"
"3.57600","0.29823","0.00212"
"3.58200","0.29877","0.00223"
"3.58800","0.29925","0.00229"
"3.59400","0.29972","0.00234"
"3.60000","0.30026","0.00239"
"3.60600","0.30074","0.00244"
"3.61200","0.30122","0.00253"
"3.61800","0.30176","0.00259"
"3.62400","0.30224","0.00266"
"3.63000","0.30271","0.00279"
"3.63600","0.30319","0.00283"
"3.64200","0.30367","0.00286"
"3.64800","0.30421","0.00293"
"3.65400","0.30469","0.00291"
"3.66000","0.30517","0.00284"
"3.66600","0.30570","0.00278"
"3.67200","0.30618","0.00271"
"3.67800","0.30672","0.00262"
"3.68400","0.30720","0.00258"
"3.69000","0.30768","0.00259"
"3.69600","0.30822","0.00262"
"3.70200","0.30869","0.00262"
"3.70800","0.30917","0.00255"
"3.71400","0.30971","0.00252"
"3.72000","0.31019","0.00246"
"3.72600","0.31073","0.00244"
"3.73200","0.31120","0.00232"
"3.73800","0.31174","0.00218"
"3.74400","0.31222","0.00209"
"3.75000","0.31276","0.00201"
"3.75600","0.31324","0.00197"
"3.76200","0.31372","0.00212"
"3.76800","0.31419","0.00220"
"3.77400","0.31473","0.00219"
"3.78000","0.31521","0.00230"
"3.78600","0.31569","0.00239"
"3.79200","0.31617","0.00242"
"3.79800","0.31665","0.00260"
"3.80400","0.31718","0.00270"
"3.81000","0.31766","0.00273"
"3.81600","0.31814","0.00270"
"3.82200","0.31868","0.00265"
"3.82800","0.31916","0.00273"
"3.83400","0.31969","0.00286"
"3.84000","0.32017","0.00286"
"3.84600","0.32065","0.00277"
"3.85200","0.32119","0.00267"
"3.85800","0.32167","0.00243"
"3.86400","0.32221","0.00228"
"3.87000","0.32268","0.00220"
"3.87600","0.32316","0.00223"
"3.88200","0.32370","0.00238"
"3.88800","0.32418","0.00248"
"3.89400","0.32472","0.00257"
"3.90000","0.32520","0.00262"
"3.90600","0.32567","0.00255"
"3.91200","0.32615","0.00245"
"3.91800","0.32663","0.00234"
"3.92400","0.32717","0.00229"
"3.93000","0.32765","0.00231"
"3.93600","0.32812","0.00233"
"3.94200","0.32866","0.00238"
"3.94800","0.32914","0.00230"
"3.95400","0.32962","0.00229"
"3.96000","0.33016","0.00232"
"3.96600","0.33064","0.00233"
"3.97200","0.33117","0.00232"
"3.97800","0.33165","0.00233"
"3.98400","0.33213","0.00238"
"3.99000","0.33267","0.00240"
"3.99600","0.33315","0.00247"
"4.00200","0.33369","0.00258"
"4.00800","0.33416","0.00269"
"4.01400","0.33470","0.00278"
"4.02000","0.33518","0.00282"
"4.02600","0.33572","0.00284"
"4.03200","0.33620","0.00281"
"4.03800","0.33673","0.00273"
"4.04400","0.33721","0.00267"
"4.05000","0.33769","0.00252"
"4.05600","0.33823","0.00235"
"4.06200","0.33871","0.00234"
"4.06800","0.33919","0.00236"
"4.07400","0.33972","0.00233"
"4.08000","0.34020","0.00240"
"4.08600","0.34068","0.00248"
"4.09200","0.34122","0.00253"
"4.09800","0.34170","0.00264"
"4.10400","0.34218","0.00267"
"4.11000","0.34271","0.00265"
"4.11600","0.34319","0.00266"
"4.12200","0.34367","0.00270"
"4.12800","0.34421","0.00282"
"4.13400","0.34469","0.00289"
"4.14000","0.34522","0.00294"
"4.14600","0.34570","0.00291"
"4.15200","0.34624","0.00282"
"4.15800","0.34672","0.00272"
"4.16400","0.34726","0.00264"
"4.17000","0.34774","0.00264"
"4.17600","0.34827","0.00268"
"4.18200","0.34875","0.00274"
"4.18800","0.34923","0.00284"
"4.19400","0.34971","0.00301"
"4.20000","0.35025","0.00316"
"4.20600","0.35073","0.00320"
"4.21200","0.35120","0.00319"
"4.21800","0.35174","0.00314"
"4.22400","0.35222","0.00303"
"4.23000","0.35270","0.00299"
"4.23600","0.35324","0.00289"
"4.24200","0.35371","0.00278"
"4.24800","0.35425","0.00265"
"4.25400","0.35473","0.00254"
"4.26000","0.35521","0.00243"
"4.26600","0.35569","0.00246"
"4.27200","0.35623","0.00258"
"4.27800","0.35670","0.00275"
"4.28400","0.35718","0.00280"
"4.29000","0.35772","0.00275"
"4.29600","0.35820","0.00277"
"4.30200","0.35874","0.00283"
"4.30800","0.35922","0.00283"
"4.31400","0.35975","0.00283"
"4.32000","0.36023","0.00276"
"4.32600","0.36077","0.00269"
"4.33200","0.36125","0.00268"
"4.33800","0.36173","0.00272"
"4.34400","0.36220","0.00272"
"4.35000","0.36268","0.00263"
"4.35600","0.36322","0.00250"
"4.36200","0.36370","0.00249"
"4.36800","0.36418","0.00250"
"4.37400","0.36466","0.00248"
"4.38000","0.36519","0.00252"
"4.38600","0.36567","0.00261"
"4.39200","0.36615","0.00275"
"4.39800","0.36669","0.00281"
"4.40400","0.36717","0.00287"
"4.41000","0.36765","0.00295"
"4.41600","0.36812","0.00302"
"4.42200","0.36866","0.00299"
"4.42800","0.36914","0.00296"
"4.43400","0.36962","0.00284"
"4.44000","0.37016","0.00268"
"4.44600","0.37064","0.00262"
"4.45200","0.37117","0.00268"
"4.45800","0.37165","0.00266"
"4.46400","0.37219","0.00265"
"4.47000","0.37267","0.00273"
"4.47600","0.37315","0.00277"
"4.48200","0.37368","0.00277"
"4.48800","0.37416","0.00277"
"4.49400","0.37464","0.00275"
"4.50000","0.37512","0.00276"
"4.50600","0.37566","0.00273"
"4.51200","0.37614","0.00273"
"4.51800","0.37661","0.00268"
"4.52400","0.37715","0.00268"
"4.53000","0.37763","0.00266"
"4.53600","0.37811","0.00256"
"4.54200","0.37865","0.00247"
"4.54800","0.37913","0.00246"
"4.55400","0.37960","0.00249"
"4.56000","0.38014","0.00253"
"4.56600","0.38062","0.00251"
"4.57200","0.38116","0.00241"
"4.57800","0.38164","0.00244"
"4.58400","0.38211","0.00253"
"4.59000","0.38265","0.00255"
"4.59600","0.38319","0.00261"
"4.60200","0.38367","0.00266"
"4.60800","0.38421","0.00265"
"4.61400","0.38469","0.00271"
"4.62000","0.38516","0.00270"
"4.62600","0.38570","0.00267"
"4.63200","0.38618","0.00271"
"4.63800","0.38666","0.00276"
"4.64400","0.38720","0.00277"
"4.65000","0.38768","0.00280"
"4.65600","0.38815","0.00280"
"4.66200","0.38863","0.00279"
"4.66800","0.38917","0.00273"
"4.67400","0.38965","0.00273"
"4.68000","0.39013","0.00275"
"4.68600","0.39066","0.00276"
"4.69200","0.39114","0.00273"
"4.69800","0.39168","0.00275"
"4.70400","0.39216","0.00279"
"4.71000","0.39270","0.00282"
"4.71600","0.39318","0.00285"
"4.72200","0.39365","0.00283"
"4.72800","0.39419","0.00287"
"4.73400","0.39473","0.00291"
"4.74000","0.39521","0.00296"
"4.74600","0.39569","0.00298"
"4.75200","0.39623","0.00289"
"4.75800","0.39670","0.00270"
"4.76400","0.39724","0.00261"
"4.77000","0.39772","0.00259"
"4.77600","0.39820","0.00267"
"4.78200","0.39874","0.00276"
"4.78800","0.39921","0.00282"
"4.79400","0.39969","0.00283"
"4.80000","0.40017","0.00281"
"4.80600","0.40071","0.00279"
"4.81200","0.40119","0.00287"
