End date,"12/23/2016"
Specimen label,"22DT_77"
Maximum Load,"0.02078",N

Time,Extension,Load
(s),(mm),(N)
"3.65400","0.30475","-0.00030"
"3.66000","0.30529","-0.00036"
"3.66600","0.30576","-0.00032"
"3.67200","0.30624","-0.00019"
"3.67800","0.30672","-0.00001"
"3.68400","0.30720","0.00010"
"3.69000","0.30774","0.00016"
"3.69600","0.30822","0.00015"
"3.70200","0.30869","0.00012"
"3.70800","0.30917","0.00006"
"3.71400","0.30971","-0.00001"
"3.72000","0.31019","0.00000"
"3.72600","0.31073","0.00000"
"3.73200","0.31120","0.00003"
"3.73800","0.31168","0.00004"
"3.74400","0.31222","-0.00001"
"3.75000","0.31270","0.00004"
"3.75600","0.31324","0.00010"
"3.76200","0.31372","0.00003"
"3.76800","0.31425","0.00003"
"3.77400","0.31473","0.00005"
"3.78000","0.31527","0.00000"
"3.78600","0.31575","-0.00003"
"3.79200","0.31629","-0.00011"
"3.79800","0.31676","-0.00023"
"3.80400","0.31724","-0.00032"
"3.81000","0.31772","-0.00038"
"3.81600","0.31820","-0.00032"
"3.82200","0.31874","-0.00015"
"3.82800","0.31922","-0.00012"
"3.83400","0.31969","-0.00010"
"3.84000","0.32017","-0.00015"
"3.84600","0.32071","-0.00036"
"3.85200","0.32119","-0.00048"
"3.85800","0.32167","-0.00052"
"3.86400","0.32215","-0.00060"
"3.87000","0.32268","-0.00067"
"3.87600","0.32316","-0.00075"
"3.88200","0.32364","-0.00073"
"3.88800","0.32418","-0.00059"
"3.89400","0.32466","-0.00054"
"3.90000","0.32520","-0.00059"
"3.90600","0.32567","-0.00066"
"3.91200","0.32615","-0.00074"
"3.91800","0.32669","-0.00066"
"3.92400","0.32717","-0.00059"
"3.93000","0.32765","-0.00059"
"3.93600","0.32812","-0.00052"
"3.94200","0.32866","-0.00053"
"3.94800","0.32914","-0.00050"
"3.95400","0.32962","-0.00040"
"3.96000","0.33010","-0.00032"
"3.96600","0.33064","-0.00032"
"3.97200","0.33111","-0.00033"
"3.97800","0.33165","-0.00045"
"3.98400","0.33213","-0.00051"
"3.99000","0.33261","-0.00056"
"3.99600","0.33315","-0.00058"
"4.00200","0.33363","-0.00044"
"4.00800","0.33416","-0.00027"
"4.01400","0.33464","-0.00022"
"4.02000","0.33512","-0.00017"
"4.02600","0.33566","-0.00011"
"4.03200","0.33614","0.00002"
"4.03800","0.33662","0.00020"
"4.04400","0.33715","0.00028"
"4.05000","0.33763","0.00026"
"4.05600","0.33817","0.00011"
"4.06200","0.33865","-0.00009"
"4.06800","0.33919","-0.00011"
"4.07400","0.33972","-0.00006"
"4.08000","0.34020","-0.00004"
"4.08600","0.34068","0.00005"
"4.09200","0.34122","0.00006"
"4.09800","0.34170","0.00000"
"4.10400","0.34218","0.00005"
"4.11000","0.34265","0.00004"
"4.11600","0.34319","-0.00002"
"4.12200","0.34367","-0.00007"
"4.12800","0.34421","-0.00018"
"4.13400","0.34469","-0.00023"
"4.14000","0.34516","-0.00031"
"4.14600","0.34570","-0.00038"
"4.15200","0.34618","-0.00035"
"4.15800","0.34672","-0.00041"
"4.16400","0.34720","-0.00059"
"4.17000","0.34768","-0.00059"
"4.17600","0.34821","-0.00055"
"4.18200","0.34869","-0.00050"
"4.18800","0.34917","-0.00048"
"4.19400","0.34971","-0.00053"
"4.20000","0.35019","-0.00054"
"4.20600","0.35067","-0.00050"
"4.21200","0.35120","-0.00043"
"4.21800","0.35168","-0.00024"
"4.22400","0.35222","-0.00008"
"4.23000","0.35270","-0.00010"
"4.23600","0.35318","-0.00012"
"4.24200","0.35371","-0.00013"
"4.24800","0.35419","-0.00025"
"4.25400","0.35467","-0.00029"
"4.26000","0.35521","-0.00034"
"4.26600","0.35569","-0.00038"
"4.27200","0.35623","-0.00046"
"4.27800","0.35670","-0.00067"
"4.28400","0.35724","-0.00069"
"4.29000","0.35772","-0.00051"
"4.29600","0.35826","-0.00043"
"4.30200","0.35874","-0.00042"
"4.30800","0.35928","-0.00043"
"4.31400","0.35975","-0.00044"
"4.32000","0.36023","-0.00037"
"4.32600","0.36077","-0.00033"
"4.33200","0.36125","-0.00030"
"4.33800","0.36173","-0.00026"
"4.34400","0.36220","-0.00027"
"4.35000","0.36274","-0.00026"
"4.35600","0.36322","-0.00016"
"4.36200","0.36370","-0.00015"
"4.36800","0.36418","-0.00004"
"4.37400","0.36472","0.00003"
"4.38000","0.36519","-0.00012"
"4.38600","0.36573","-0.00037"
"4.39200","0.36621","-0.00055"
"4.39800","0.36669","-0.00062"
"4.40400","0.36723","-0.00050"
"4.41000","0.36771","-0.00040"
"4.41600","0.36824","-0.00037"
"4.42200","0.36872","-0.00037"
"4.42800","0.36920","-0.00031"
"4.43400","0.36968","-0.00023"
"4.44000","0.37022","-0.00019"
"4.44600","0.37070","-0.00021"
"4.45200","0.37117","-0.00011"
"4.45800","0.37171","-0.00013"
"4.46400","0.37219","-0.00019"
"4.47000","0.37267","-0.00019"
"4.47600","0.37321","-0.00029"
"4.48200","0.37368","-0.00037"
"4.48800","0.37416","-0.00046"
"4.49400","0.37464","-0.00053"
"4.50000","0.37518","-0.00048"
"4.50600","0.37566","-0.00028"
"4.51200","0.37614","-0.00012"
"4.51800","0.37661","0.00000"
"4.52400","0.37715","0.00003"
"4.53000","0.37763","-0.00009"
"4.53600","0.37811","-0.00018"
"4.54200","0.37865","-0.00035"
"4.54800","0.37913","-0.00048"
"4.55400","0.37966","-0.00045"
"4.56000","0.38014","-0.00042"
"4.56600","0.38068","-0.00045"
"4.57200","0.38116","-0.00045"
"4.57800","0.38164","-0.00045"
