End date,"11/4/2016"
Specimen label,"63G_21"
Maximum Load,"-0.00015",N

Time,Extension,Load
(s),(mm),(N)
"4.00200","-0.23491","-0.00295"
"4.00800","-0.23438","-0.00303"
"4.01400","-0.23390","-0.00314"
"4.02000","-0.23342","-0.00323"
"4.02600","-0.23288","-0.00327"
"4.03200","-0.23240","-0.00326"
"4.03800","-0.23192","-0.00330"
"4.04400","-0.23139","-0.00339"
"4.05000","-0.23091","-0.00338"
"4.05600","-0.23043","-0.00333"
"4.06200","-0.22989","-0.00322"
"4.06800","-0.22941","-0.00323"
"4.07400","-0.22893","-0.00328"
"4.08000","-0.22840","-0.00329"
"4.08600","-0.22792","-0.00323"
"4.09200","-0.22738","-0.00313"
"4.09800","-0.22690","-0.00304"
"4.10400","-0.22636","-0.00308"
"4.11000","-0.22588","-0.00317"
"4.11600","-0.22535","-0.00318"
"4.12200","-0.22487","-0.00321"
"4.12800","-0.22439","-0.00322"
"4.13400","-0.22385","-0.00324"
"4.14000","-0.22337","-0.00332"
"4.14600","-0.22290","-0.00336"
"4.15200","-0.22236","-0.00334"
"4.15800","-0.22188","-0.00334"
"4.16400","-0.22140","-0.00341"
"4.17000","-0.22086","-0.00338"
"4.17600","-0.22038","-0.00331"
"4.18200","-0.21991","-0.00319"
"4.18800","-0.21937","-0.00314"
"4.19400","-0.21889","-0.00312"
"4.20000","-0.21841","-0.00315"
"4.20600","-0.21787","-0.00315"
"4.21200","-0.21739","-0.00317"
"4.21800","-0.21692","-0.00320"
"4.22400","-0.21644","-0.00317"
"4.23000","-0.21590","-0.00314"
"4.23600","-0.21542","-0.00314"
"4.24200","-0.21494","-0.00316"
"4.24800","-0.21441","-0.00317"
"4.25400","-0.21393","-0.00312"
"4.26000","-0.21339","-0.00305"
"4.26600","-0.21291","-0.00306"
"4.27200","-0.21243","-0.00309"
"4.27800","-0.21189","-0.00317"
"4.28400","-0.21142","-0.00326"
"4.29000","-0.21094","-0.00331"
"4.29600","-0.21046","-0.00335"
"4.30200","-0.20992","-0.00335"
"4.30800","-0.20944","-0.00329"
"4.31400","-0.20896","-0.00330"
