End date,"2/12/2017"
Specimen label,"10BG_Unk2"
Maximum Load,"0.64592",N

Time,Extension,Load
(s),(mm),(N)
"3.70200","0.30875","0.00680"
"3.70800","0.30923","0.00690"
"3.71400","0.30971","0.00708"
"3.72000","0.31019","0.00715"
"3.72600","0.31073","0.00713"
"3.73200","0.31120","0.00711"
"3.73800","0.31168","0.00700"
"3.74400","0.31222","0.00688"
"3.75000","0.31270","0.00685"
"3.75600","0.31318","0.00689"
"3.76200","0.31366","0.00684"
"3.76800","0.31419","0.00666"
"3.77400","0.31467","0.00673"
"3.78000","0.31521","0.00681"
"3.78600","0.31569","0.00687"
"3.79200","0.31623","0.00699"
"3.79800","0.31671","0.00709"
"3.80400","0.31718","0.00705"
"3.81000","0.31772","0.00699"
"3.81600","0.31820","0.00698"
"3.82200","0.31868","0.00695"
"3.82800","0.31922","0.00682"
"3.83400","0.31969","0.00675"
"3.84000","0.32017","0.00682"
"3.84600","0.32065","0.00684"
"3.85200","0.32119","0.00691"
"3.85800","0.32167","0.00709"
"3.86400","0.32215","0.00723"
"3.87000","0.32268","0.00728"
"3.87600","0.32316","0.00729"
"3.88200","0.32370","0.00743"
"3.88800","0.32418","0.00749"
"3.89400","0.32466","0.00745"
"3.90000","0.32520","0.00754"
"3.90600","0.32567","0.00752"
"3.91200","0.32621","0.00736"
"3.91800","0.32669","0.00714"
"3.92400","0.32717","0.00676"
"3.93000","0.32771","0.00646"
"3.93600","0.32818","0.00617"
"3.94200","0.32872","0.00600"
"3.94800","0.32920","0.00611"
"3.95400","0.32974","0.00627"
"3.96000","0.33022","0.00649"
"3.96600","0.33070","0.00674"
"3.97200","0.33123","0.00677"
"3.97800","0.33171","0.00678"
"3.98400","0.33219","0.00681"
"3.99000","0.33273","0.00681"
"3.99600","0.33321","0.00681"
"4.00200","0.33369","0.00681"
"4.00800","0.33422","0.00674"
"4.01400","0.33470","0.00679"
"4.02000","0.33518","0.00676"
"4.02600","0.33572","0.00670"
"4.03200","0.33620","0.00677"
