End date,"12/17/2016"
Specimen label,"6CT_42"
Maximum Load,"0.30066",N

Time,Extension,Load
(s),(mm),(N)
"4.32600","0.36059","0.00481"
"4.33200","0.36113","0.00473"
"4.33800","0.36161","0.00471"
"4.34400","0.36209","0.00471"
"4.35000","0.36262","0.00471"
"4.35600","0.36310","0.00477"
"4.36200","0.36358","0.00482"
"4.36800","0.36412","0.00485"
"4.37400","0.36460","0.00486"
"4.38000","0.36513","0.00485"
"4.38600","0.36561","0.00480"
"4.39200","0.36615","0.00481"
"4.39800","0.36663","0.00482"
"4.40400","0.36717","0.00478"
"4.41000","0.36765","0.00475"
"4.41600","0.36812","0.00472"
"4.42200","0.36866","0.00469"
"4.42800","0.36914","0.00470"
"4.43400","0.36962","0.00468"
"4.44000","0.37010","0.00470"
"4.44600","0.37064","0.00473"
"4.45200","0.37111","0.00479"
"4.45800","0.37159","0.00484"
"4.46400","0.37213","0.00491"
"4.47000","0.37261","0.00493"
"4.47600","0.37315","0.00487"
"4.48200","0.37362","0.00481"
"4.48800","0.37416","0.00480"
"4.49400","0.37464","0.00485"
"4.50000","0.37512","0.00485"
"4.50600","0.37566","0.00486"
"4.51200","0.37614","0.00482"
"4.51800","0.37667","0.00478"
"4.52400","0.37715","0.00483"
"4.53000","0.37769","0.00486"
"4.53600","0.37823","0.00482"
"4.54200","0.37871","0.00477"
"4.54800","0.37925","0.00473"
"4.55400","0.37972","0.00475"
"4.56000","0.38020","0.00479"
"4.56600","0.38068","0.00475"
"4.57200","0.38116","0.00474"
"4.57800","0.38164","0.00478"
"4.58400","0.38217","0.00487"
"4.59000","0.38265","0.00490"
"4.59600","0.38313","0.00488"
"4.60200","0.38361","0.00489"
"4.60800","0.38415","0.00488"
"4.61400","0.38463","0.00484"
"4.62000","0.38516","0.00483"
"4.62600","0.38564","0.00480"
"4.63200","0.38618","0.00472"
"4.63800","0.38666","0.00471"
"4.64400","0.38714","0.00475"
"4.65000","0.38768","0.00475"
"4.65600","0.38815","0.00478"
