End date,"12/17/2016"
Specimen label,"15CG_Unk"
Maximum Load,"0.01489",N

Time,Extension,Load
(s),(mm),(N)
"4.53600","0.37823","0.00528"
"4.54200","0.37871","0.00529"
"4.54800","0.37925","0.00528"
"4.55400","0.37972","0.00528"
"4.56000","0.38026","0.00532"
"4.56600","0.38074","0.00542"
"4.57200","0.38128","0.00545"
"4.57800","0.38176","0.00547"
"4.58400","0.38229","0.00548"
"4.59000","0.38277","0.00543"
"4.59600","0.38325","0.00540"
"4.60200","0.38379","0.00537"
"4.60800","0.38427","0.00541"
"4.61400","0.38475","0.00540"
"4.62000","0.38522","0.00537"
"4.62600","0.38570","0.00540"
"4.63200","0.38624","0.00543"
"4.63800","0.38672","0.00547"
"4.64400","0.38720","0.00548"
"4.65000","0.38774","0.00543"
"4.65600","0.38821","0.00543"
"4.66200","0.38869","0.00545"
"4.66800","0.38923","0.00545"
"4.67400","0.38971","0.00548"
"4.68000","0.39019","0.00547"
"4.68600","0.39072","0.00544"
"4.69200","0.39120","0.00544"
"4.69800","0.39174","0.00548"
"4.70400","0.39222","0.00553"
"4.71000","0.39270","0.00554"
"4.71600","0.39324","0.00547"
"4.72200","0.39371","0.00542"
"4.72800","0.39419","0.00535"
"4.73400","0.39473","0.00528"
"4.74000","0.39521","0.00530"
"4.74600","0.39569","0.00535"
"4.75200","0.39623","0.00537"
"4.75800","0.39670","0.00540"
"4.76400","0.39718","0.00542"
"4.77000","0.39772","0.00539"
"4.77600","0.39820","0.00549"
"4.78200","0.39874","0.00558"
"4.78800","0.39921","0.00559"
"4.79400","0.39969","0.00558"
"4.80000","0.40017","0.00559"
"4.80600","0.40071","0.00558"
"4.81200","0.40119","0.00550"
"4.81800","0.40167","0.00542"
