End date,"2/25/2017"
Specimen label,"1DG_unk"
Maximum Load,"0.41180",N

Time,Extension,Load
(s),(mm),(N)
"4.18200","0.34875","0.00383"
"4.18800","0.34923","0.00385"
"4.19400","0.34977","0.00392"
"4.20000","0.35025","0.00398"
"4.20600","0.35073","0.00389"
"4.21200","0.35126","0.00388"
"4.21800","0.35174","0.00387"
"4.22400","0.35222","0.00387"
"4.23000","0.35276","0.00386"
"4.23600","0.35324","0.00379"
"4.24200","0.35371","0.00364"
"4.24800","0.35419","0.00360"
"4.25400","0.35467","0.00353"
"4.26000","0.35521","0.00356"
"4.26600","0.35569","0.00371"
"4.27200","0.35617","0.00389"
"4.27800","0.35664","0.00398"
"4.28400","0.35718","0.00398"
"4.29000","0.35766","0.00391"
"4.29600","0.35814","0.00384"
"4.30200","0.35868","0.00379"
"4.30800","0.35916","0.00392"
"4.31400","0.35969","0.00417"
"4.32000","0.36017","0.00434"
"4.32600","0.36065","0.00454"
"4.33200","0.36119","0.00450"
"4.33800","0.36167","0.00436"
"4.34400","0.36220","0.00411"
"4.35000","0.36268","0.00384"
"4.35600","0.36316","0.00373"
"4.36200","0.36364","0.00373"
"4.36800","0.36418","0.00375"
"4.37400","0.36466","0.00374"
"4.38000","0.36513","0.00374"
"4.38600","0.36561","0.00378"
"4.39200","0.36609","0.00377"
"4.39800","0.36663","0.00377"
"4.40400","0.36711","0.00383"
"4.41000","0.36765","0.00390"
"4.41600","0.36812","0.00396"
"4.42200","0.36860","0.00405"
"4.42800","0.36914","0.00418"
"4.43400","0.36962","0.00431"
"4.44000","0.37010","0.00441"
"4.44600","0.37064","0.00454"
"4.45200","0.37111","0.00453"
"4.45800","0.37165","0.00451"
"4.46400","0.37213","0.00440"
"4.47000","0.37267","0.00436"
"4.47600","0.37315","0.00446"
"4.48200","0.37368","0.00451"
"4.48800","0.37416","0.00447"
"4.49400","0.37464","0.00433"
"4.50000","0.37518","0.00413"
"4.50600","0.37566","0.00391"
"4.51200","0.37614","0.00393"
"4.51800","0.37667","0.00391"
"4.52400","0.37715","0.00399"
"4.53000","0.37763","0.00410"
"4.53600","0.37811","0.00412"
"4.54200","0.37859","0.00404"
"4.54800","0.37913","0.00398"
"4.55400","0.37960","0.00393"
"4.56000","0.38008","0.00402"
"4.56600","0.38056","0.00406"
"4.57200","0.38110","0.00429"
"4.57800","0.38158","0.00465"
"4.58400","0.38206","0.00480"
"4.59000","0.38259","0.00475"
"4.59600","0.38307","0.00471"
"4.60200","0.38361","0.00464"
"4.60800","0.38409","0.00462"
"4.61400","0.38463","0.00456"
"4.62000","0.38516","0.00448"
"4.62600","0.38564","0.00449"
"4.63200","0.38618","0.00444"
"4.63800","0.38666","0.00438"
"4.64400","0.38720","0.00434"
"4.65000","0.38768","0.00428"
"4.65600","0.38821","0.00427"
"4.66200","0.38869","0.00421"
"4.66800","0.38917","0.00414"
"4.67400","0.38965","0.00412"
"4.68000","0.39019","0.00404"
"4.68600","0.39066","0.00403"
"4.69200","0.39120","0.00402"
