End date,"1/8/2017"
Specimen label,"11AT_NL"
Maximum Load,"0.06823",N

Time,Extension,Load
(s),(mm),(N)
"3.75600","0.31318","-0.00017"
"3.76200","0.31372","-0.00023"
"3.76800","0.31419","-0.00021"
"3.77400","0.31467","-0.00005"
"3.78000","0.31521","0.00008"
"3.78600","0.31569","0.00008"
"3.79200","0.31623","0.00005"
"3.79800","0.31671","0.00006"
"3.80400","0.31724","0.00016"
"3.81000","0.31772","0.00029"
"3.81600","0.31820","0.00026"
"3.82200","0.31874","0.00017"
"3.82800","0.31922","0.00016"
"3.83400","0.31969","0.00019"
"3.84000","0.32023","0.00020"
"3.84600","0.32071","0.00025"
"3.85200","0.32125","0.00022"
"3.85800","0.32173","0.00011"
"3.86400","0.32221","-0.00004"
"3.87000","0.32268","-0.00007"
"3.87600","0.32322","-0.00010"
"3.88200","0.32370","-0.00009"
"3.88800","0.32424","0.00001"
"3.89400","0.32472","0.00013"
"3.90000","0.32520","0.00013"
"3.90600","0.32573","0.00005"
"3.91200","0.32621","0.00004"
"3.91800","0.32675","0.00001"
"3.92400","0.32723","0.00002"
"3.93000","0.32777","0.00004"
"3.93600","0.32824","0.00009"
"3.94200","0.32878","0.00001"
"3.94800","0.32926","0.00003"
"3.95400","0.32974","0.00017"
"3.96000","0.33022","0.00030"
"3.96600","0.33076","0.00043"
"3.97200","0.33123","0.00060"
"3.97800","0.33171","0.00059"
"3.98400","0.33225","0.00040"
"3.99000","0.33273","0.00007"
"3.99600","0.33321","-0.00012"
"4.00200","0.33375","-0.00014"
"4.00800","0.33422","-0.00003"
"4.01400","0.33476","-0.00001"
"4.02000","0.33524","-0.00005"
"4.02600","0.33572","-0.00016"
"4.03200","0.33626","-0.00016"
"4.03800","0.33673","-0.00006"
"4.04400","0.33721","0.00006"
"4.05000","0.33769","0.00015"
"4.05600","0.33823","0.00019"
"4.06200","0.33871","0.00017"
"4.06800","0.33919","0.00019"
"4.07400","0.33966","0.00035"
"4.08000","0.34020","0.00042"
