End date,"1/8/2017"
Specimen label,"20DT_UNK"
Maximum Load,"0.19153",N

Time,Extension,Load
(s),(mm),(N)
"3.97200","0.33117","0.00464"
"3.97800","0.33171","0.00465"
"3.98400","0.33219","0.00469"
"3.99000","0.33267","0.00472"
"3.99600","0.33321","0.00471"
"4.00200","0.33369","0.00467"
"4.00800","0.33416","0.00466"
"4.01400","0.33470","0.00465"
"4.02000","0.33518","0.00463"
"4.02600","0.33572","0.00459"
"4.03200","0.33620","0.00455"
"4.03800","0.33673","0.00459"
"4.04400","0.33721","0.00457"
"4.05000","0.33775","0.00454"
"4.05600","0.33823","0.00455"
"4.06200","0.33871","0.00455"
"4.06800","0.33925","0.00453"
"4.07400","0.33972","0.00456"
"4.08000","0.34020","0.00462"
"4.08600","0.34068","0.00465"
"4.09200","0.34116","0.00467"
"4.09800","0.34164","0.00469"
"4.10400","0.34218","0.00473"
"4.11000","0.34265","0.00472"
"4.11600","0.34313","0.00472"
"4.12200","0.34367","0.00473"
"4.12800","0.34415","0.00476"
"4.13400","0.34463","0.00481"
"4.14000","0.34516","0.00487"
"4.14600","0.34564","0.00486"
"4.15200","0.34612","0.00484"
"4.15800","0.34666","0.00483"
"4.16400","0.34714","0.00484"
"4.17000","0.34768","0.00484"
"4.17600","0.34815","0.00478"
"4.18200","0.34863","0.00473"
"4.18800","0.34917","0.00473"
"4.19400","0.34965","0.00474"
"4.20000","0.35013","0.00474"
"4.20600","0.35067","0.00478"
"4.21200","0.35114","0.00482"
"4.21800","0.35162","0.00483"
"4.22400","0.35210","0.00482"
"4.23000","0.35264","0.00488"
"4.23600","0.35312","0.00485"
"4.24200","0.35360","0.00484"
"4.24800","0.35413","0.00482"
"4.25400","0.35461","0.00478"
"4.26000","0.35509","0.00480"
"4.26600","0.35563","0.00485"
"4.27200","0.35611","0.00489"
"4.27800","0.35658","0.00488"
"4.28400","0.35712","0.00490"
"4.29000","0.35760","0.00495"
"4.29600","0.35814","0.00503"
"4.30200","0.35862","0.00508"
"4.30800","0.35916","0.00508"
"4.31400","0.35963","0.00511"
"4.32000","0.36017","0.00514"
"4.32600","0.36071","0.00512"
"4.33200","0.36119","0.00511"
"4.33800","0.36167","0.00502"
"4.34400","0.36220","0.00496"
"4.35000","0.36268","0.00495"
"4.35600","0.36316","0.00497"
"4.36200","0.36370","0.00501"
"4.36800","0.36418","0.00507"
"4.37400","0.36466","0.00514"
"4.38000","0.36519","0.00513"
"4.38600","0.36567","0.00511"
"4.39200","0.36615","0.00517"
"4.39800","0.36669","0.00517"
"4.40400","0.36717","0.00512"
"4.41000","0.36765","0.00509"
"4.41600","0.36818","0.00510"
"4.42200","0.36866","0.00509"
"4.42800","0.36914","0.00508"
"4.43400","0.36968","0.00509"
"4.44000","0.37022","0.00509"
"4.44600","0.37070","0.00508"
"4.45200","0.37123","0.00509"
"4.45800","0.37171","0.00510"
"4.46400","0.37225","0.00514"
"4.47000","0.37273","0.00523"
"4.47600","0.37327","0.00529"
"4.48200","0.37374","0.00535"
"4.48800","0.37422","0.00534"
"4.49400","0.37476","0.00533"
"4.50000","0.37524","0.00528"
"4.50600","0.37572","0.00530"
"4.51200","0.37626","0.00529"
"4.51800","0.37673","0.00528"
"4.52400","0.37721","0.00528"
"4.53000","0.37769","0.00527"
"4.53600","0.37823","0.00519"
"4.54200","0.37871","0.00512"
"4.54800","0.37919","0.00510"
"4.55400","0.37966","0.00507"
"4.56000","0.38020","0.00507"
"4.56600","0.38068","0.00514"
"4.57200","0.38116","0.00522"
"4.57800","0.38164","0.00529"
"4.58400","0.38217","0.00536"
"4.59000","0.38265","0.00539"
"4.59600","0.38319","0.00533"
"4.60200","0.38367","0.00524"
"4.60800","0.38421","0.00519"
"4.61400","0.38469","0.00516"
"4.62000","0.38522","0.00515"
"4.62600","0.38570","0.00519"
"4.63200","0.38618","0.00525"
"4.63800","0.38666","0.00528"
"4.64400","0.38720","0.00530"
"4.65000","0.38768","0.00533"
"4.65600","0.38815","0.00537"
"4.66200","0.38863","0.00539"
"4.66800","0.38911","0.00539"
"4.67400","0.38959","0.00537"
"4.68000","0.39013","0.00535"
"4.68600","0.39061","0.00534"
"4.69200","0.39108","0.00536"
"4.69800","0.39162","0.00534"
"4.70400","0.39210","0.00532"
"4.71000","0.39258","0.00532"
"4.71600","0.39312","0.00531"
"4.72200","0.39359","0.00524"
"4.72800","0.39407","0.00519"
"4.73400","0.39461","0.00517"
"4.74000","0.39509","0.00513"
"4.74600","0.39563","0.00511"
"4.75200","0.39617","0.00509"
"4.75800","0.39664","0.00505"
"4.76400","0.39718","0.00501"
"4.77000","0.39766","0.00500"
"4.77600","0.39820","0.00509"
"4.78200","0.39868","0.00519"
"4.78800","0.39915","0.00523"
"4.79400","0.39969","0.00527"
