End date,"1/8/2017"
Specimen label,"19AG_UNK"
Maximum Load,"0.01075",N

Time,Extension,Load
(s),(mm),(N)
"3.61200","0.30110","0.00767"
"3.61800","0.30158","0.00773"
"3.62400","0.30212","0.00772"
"3.63000","0.30259","0.00781"
"3.63600","0.30307","0.00795"
"3.64200","0.30361","0.00806"
"3.64800","0.30409","0.00815"
"3.65400","0.30457","0.00816"
"3.66000","0.30511","0.00810"
"3.66600","0.30558","0.00797"
"3.67200","0.30612","0.00785"
"3.67800","0.30660","0.00778"
"3.68400","0.30708","0.00778"
"3.69000","0.30762","0.00776"
"3.69600","0.30810","0.00773"
"3.70200","0.30857","0.00776"
"3.70800","0.30911","0.00783"
"3.71400","0.30959","0.00789"
"3.72000","0.31007","0.00794"
"3.72600","0.31061","0.00802"
"3.73200","0.31108","0.00808"
"3.73800","0.31162","0.00808"
"3.74400","0.31210","0.00808"
"3.75000","0.31258","0.00811"
"3.75600","0.31312","0.00810"
"3.76200","0.31366","0.00810"
"3.76800","0.31413","0.00803"
"3.77400","0.31467","0.00789"
"3.78000","0.31515","0.00785"
"3.78600","0.31563","0.00782"
"3.79200","0.31617","0.00776"
"3.79800","0.31665","0.00773"
"3.80400","0.31718","0.00765"
"3.81000","0.31766","0.00757"
"3.81600","0.31814","0.00750"
"3.82200","0.31868","0.00740"
"3.82800","0.31916","0.00737"
"3.83400","0.31969","0.00750"
"3.84000","0.32017","0.00763"
"3.84600","0.32071","0.00772"
"3.85200","0.32119","0.00777"
"3.85800","0.32167","0.00779"
"3.86400","0.32221","0.00781"
"3.87000","0.32268","0.00790"
"3.87600","0.32316","0.00799"
"3.88200","0.32370","0.00812"
"3.88800","0.32418","0.00819"
"3.89400","0.32466","0.00818"
"3.90000","0.32520","0.00809"
"3.90600","0.32567","0.00799"
"3.91200","0.32621","0.00799"
"3.91800","0.32669","0.00807"
"3.92400","0.32717","0.00817"
"3.93000","0.32771","0.00827"
"3.93600","0.32818","0.00830"
"3.94200","0.32866","0.00823"
"3.94800","0.32914","0.00823"
"3.95400","0.32968","0.00824"
"3.96000","0.33016","0.00818"
"3.96600","0.33064","0.00803"
"3.97200","0.33117","0.00785"
"3.97800","0.33165","0.00775"
"3.98400","0.33213","0.00779"
"3.99000","0.33267","0.00785"
"3.99600","0.33315","0.00795"
"4.00200","0.33363","0.00809"
"4.00800","0.33416","0.00822"
"4.01400","0.33464","0.00831"
"4.02000","0.33518","0.00832"
"4.02600","0.33566","0.00828"
"4.03200","0.33620","0.00829"
"4.03800","0.33667","0.00824"
"4.04400","0.33721","0.00820"
"4.05000","0.33769","0.00817"
"4.05600","0.33823","0.00806"
"4.06200","0.33871","0.00799"
"4.06800","0.33919","0.00802"
"4.07400","0.33972","0.00800"
"4.08000","0.34020","0.00794"
"4.08600","0.34068","0.00789"
"4.09200","0.34116","0.00773"
"4.09800","0.34170","0.00759"
"4.10400","0.34218","0.00748"
"4.11000","0.34265","0.00749"
"4.11600","0.34319","0.00759"
"4.12200","0.34367","0.00766"
"4.12800","0.34415","0.00771"
"4.13400","0.34469","0.00774"
"4.14000","0.34516","0.00777"
"4.14600","0.34564","0.00782"
"4.15200","0.34618","0.00787"
"4.15800","0.34666","0.00791"
"4.16400","0.34714","0.00792"
"4.17000","0.34762","0.00787"
"4.17600","0.34815","0.00783"
