End date,"12/16/2016"
Specimen label,"6DG_Unk"
Maximum Load,"0.12815",N

Time,Extension,Load
(s),(mm),(N)
"3.64200","0.30367","0.00032"
"3.64800","0.30421","0.00020"
"3.65400","0.30469","0.00016"
"3.66000","0.30517","0.00015"
"3.66600","0.30570","0.00022"
"3.67200","0.30618","0.00053"
"3.67800","0.30672","0.00075"
"3.68400","0.30720","0.00084"
"3.69000","0.30768","0.00088"
"3.69600","0.30822","0.00081"
"3.70200","0.30869","0.00082"
"3.70800","0.30923","0.00084"
"3.71400","0.30971","0.00077"
"3.72000","0.31019","0.00082"
"3.72600","0.31073","0.00086"
"3.73200","0.31120","0.00088"
"3.73800","0.31168","0.00092"
"3.74400","0.31222","0.00088"
"3.75000","0.31270","0.00087"
"3.75600","0.31318","0.00091"
"3.76200","0.31372","0.00091"
"3.76800","0.31419","0.00095"
"3.77400","0.31467","0.00092"
"3.78000","0.31521","0.00071"
"3.78600","0.31569","0.00059"
"3.79200","0.31617","0.00052"
"3.79800","0.31671","0.00049"
"3.80400","0.31718","0.00054"
"3.81000","0.31766","0.00058"
"3.81600","0.31820","0.00060"
"3.82200","0.31868","0.00067"
"3.82800","0.31916","0.00064"
"3.83400","0.31969","0.00061"
"3.84000","0.32017","0.00063"
"3.84600","0.32071","0.00059"
"3.85200","0.32119","0.00063"
"3.85800","0.32173","0.00073"
"3.86400","0.32221","0.00082"
"3.87000","0.32268","0.00103"
"3.87600","0.32322","0.00124"
"3.88200","0.32370","0.00123"
"3.88800","0.32424","0.00113"
"3.89400","0.32472","0.00092"
"3.90000","0.32520","0.00076"
"3.90600","0.32573","0.00072"
"3.91200","0.32621","0.00069"
"3.91800","0.32675","0.00070"
"3.92400","0.32723","0.00080"
"3.93000","0.32771","0.00077"
"3.93600","0.32824","0.00075"
"3.94200","0.32878","0.00066"
"3.94800","0.32926","0.00053"
"3.95400","0.32974","0.00049"
"3.96000","0.33028","0.00050"
"3.96600","0.33076","0.00041"
"3.97200","0.33123","0.00049"
"3.97800","0.33177","0.00048"
"3.98400","0.33225","0.00044"
"3.99000","0.33273","0.00043"
"3.99600","0.33327","0.00037"
"4.00200","0.33375","0.00027"
"4.00800","0.33422","0.00020"
"4.01400","0.33476","0.00018"
"4.02000","0.33524","0.00023"
"4.02600","0.33578","0.00027"
"4.03200","0.33626","0.00022"
"4.03800","0.33673","0.00023"
"4.04400","0.33727","0.00022"
"4.05000","0.33775","0.00022"
"4.05600","0.33823","0.00021"
"4.06200","0.33877","0.00014"
"4.06800","0.33925","0.00015"
"4.07400","0.33972","0.00029"
"4.08000","0.34026","0.00028"
"4.08600","0.34074","0.00039"
"4.09200","0.34122","0.00043"
"4.09800","0.34176","0.00046"
"4.10400","0.34224","0.00062"
"4.11000","0.34271","0.00073"
"4.11600","0.34325","0.00069"
"4.12200","0.34373","0.00074"
"4.12800","0.34421","0.00072"
"4.13400","0.34469","0.00070"
"4.14000","0.34522","0.00072"
"4.14600","0.34570","0.00068"
"4.15200","0.34618","0.00069"
"4.15800","0.34672","0.00071"
"4.16400","0.34720","0.00062"
"4.17000","0.34774","0.00060"
"4.17600","0.34821","0.00051"
"4.18200","0.34875","0.00035"
"4.18800","0.34923","0.00029"
"4.19400","0.34971","0.00024"
"4.20000","0.35019","0.00026"
"4.20600","0.35073","0.00033"
"4.21200","0.35120","0.00041"
"4.21800","0.35168","0.00053"
"4.22400","0.35216","0.00064"
"4.23000","0.35270","0.00068"
"4.23600","0.35318","0.00068"
"4.24200","0.35366","0.00063"
"4.24800","0.35419","0.00061"
"4.25400","0.35467","0.00068"
"4.26000","0.35515","0.00074"
"4.26600","0.35569","0.00068"
"4.27200","0.35617","0.00066"
"4.27800","0.35664","0.00066"
"4.28400","0.35718","0.00071"
"4.29000","0.35766","0.00077"
"4.29600","0.35820","0.00073"
"4.30200","0.35868","0.00070"
"4.30800","0.35916","0.00065"
"4.31400","0.35969","0.00062"
"4.32000","0.36017","0.00065"
"4.32600","0.36071","0.00067"
"4.33200","0.36119","0.00066"
"4.33800","0.36167","0.00071"
"4.34400","0.36215","0.00068"
"4.35000","0.36268","0.00066"
"4.35600","0.36316","0.00065"
"4.36200","0.36364","0.00062"
"4.36800","0.36418","0.00056"
"4.37400","0.36466","0.00055"
"4.38000","0.36513","0.00046"
"4.38600","0.36567","0.00051"
"4.39200","0.36615","0.00057"
"4.39800","0.36669","0.00062"
"4.40400","0.36717","0.00072"
"4.41000","0.36765","0.00085"
"4.41600","0.36818","0.00090"
"4.42200","0.36866","0.00084"
"4.42800","0.36920","0.00064"
"4.43400","0.36968","0.00051"
"4.44000","0.37022","0.00052"
"4.44600","0.37070","0.00051"
"4.45200","0.37123","0.00056"
"4.45800","0.37171","0.00055"
"4.46400","0.37225","0.00050"
"4.47000","0.37279","0.00057"
"4.47600","0.37327","0.00059"
"4.48200","0.37380","0.00048"
"4.48800","0.37428","0.00046"
"4.49400","0.37476","0.00042"
"4.50000","0.37524","0.00038"
"4.50600","0.37572","0.00053"
"4.51200","0.37626","0.00069"
"4.51800","0.37673","0.00086"
"4.52400","0.37721","0.00093"
"4.53000","0.37769","0.00085"
"4.53600","0.37817","0.00081"
"4.54200","0.37871","0.00076"
"4.54800","0.37919","0.00075"
"4.55400","0.37966","0.00078"
"4.56000","0.38020","0.00075"
"4.56600","0.38068","0.00069"
"4.57200","0.38122","0.00086"
"4.57800","0.38170","0.00094"
"4.58400","0.38217","0.00099"
"4.59000","0.38271","0.00100"
"4.59600","0.38319","0.00093"
"4.60200","0.38373","0.00096"
"4.60800","0.38421","0.00100"
