End date,"12/16/2016"
Specimen label,"15AG_19"
Maximum Load,"0.22100",N

Time,Extension,Load
(s),(mm),(N)
"3.39600","0.28316","0.00158"
"3.40200","0.28370","0.00149"
"3.40800","0.28418","0.00158"
"3.41400","0.28466","0.00174"
"3.42000","0.28520","0.00185"
"3.42600","0.28567","0.00193"
"3.43200","0.28615","0.00194"
"3.43800","0.28669","0.00188"
"3.44400","0.28717","0.00189"
"3.45000","0.28771","0.00181"
"3.45600","0.28819","0.00186"
"3.46200","0.28866","0.00197"
"3.46800","0.28920","0.00196"
"3.47400","0.28968","0.00205"
"3.48000","0.29022","0.00210"
"3.48600","0.29070","0.00207"
"3.49200","0.29123","0.00209"
"3.49800","0.29171","0.00198"
"3.50400","0.29219","0.00195"
"3.51000","0.29273","0.00196"
"3.51600","0.29321","0.00182"
"3.52200","0.29369","0.00174"
"3.52800","0.29416","0.00170"
"3.53400","0.29464","0.00162"
"3.54000","0.29518","0.00170"
"3.54600","0.29566","0.00178"
"3.55200","0.29614","0.00176"
"3.55800","0.29668","0.00185"
"3.56400","0.29715","0.00185"
"3.57000","0.29769","0.00173"
"3.57600","0.29817","0.00166"
"3.58200","0.29865","0.00154"
"3.58800","0.29919","0.00150"
"3.59400","0.29967","0.00160"
"3.60000","0.30020","0.00164"
"3.60600","0.30068","0.00176"
"3.61200","0.30116","0.00185"
"3.61800","0.30170","0.00187"
"3.62400","0.30218","0.00186"
"3.63000","0.30271","0.00181"
"3.63600","0.30319","0.00167"
"3.64200","0.30367","0.00163"
"3.64800","0.30421","0.00167"
"3.65400","0.30469","0.00166"
"3.66000","0.30517","0.00178"
"3.66600","0.30564","0.00184"
"3.67200","0.30618","0.00188"
"3.67800","0.30666","0.00185"
"3.68400","0.30714","0.00184"
"3.69000","0.30768","0.00189"
"3.69600","0.30816","0.00193"
"3.70200","0.30869","0.00195"
"3.70800","0.30917","0.00205"
"3.71400","0.30965","0.00207"
"3.72000","0.31019","0.00202"
"3.72600","0.31067","0.00201"
"3.73200","0.31120","0.00196"
"3.73800","0.31168","0.00193"
"3.74400","0.31216","0.00189"
"3.75000","0.31270","0.00169"
"3.75600","0.31318","0.00158"
"3.76200","0.31372","0.00163"
"3.76800","0.31419","0.00171"
"3.77400","0.31473","0.00188"
"3.78000","0.31521","0.00201"
"3.78600","0.31569","0.00197"
"3.79200","0.31623","0.00187"
"3.79800","0.31671","0.00175"
"3.80400","0.31718","0.00167"
"3.81000","0.31772","0.00166"
"3.81600","0.31820","0.00153"
"3.82200","0.31868","0.00145"
"3.82800","0.31922","0.00148"
"3.83400","0.31969","0.00145"
"3.84000","0.32017","0.00150"
"3.84600","0.32071","0.00151"
"3.85200","0.32119","0.00146"
"3.85800","0.32167","0.00154"
"3.86400","0.32221","0.00160"
"3.87000","0.32268","0.00152"
"3.87600","0.32316","0.00153"
"3.88200","0.32370","0.00153"
"3.88800","0.32418","0.00158"
"3.89400","0.32466","0.00173"
"3.90000","0.32520","0.00174"
"3.90600","0.32567","0.00176"
"3.91200","0.32615","0.00180"
"3.91800","0.32663","0.00178"
"3.92400","0.32717","0.00177"
"3.93000","0.32765","0.00179"
"3.93600","0.32812","0.00179"
"3.94200","0.32866","0.00184"
"3.94800","0.32914","0.00172"
"3.95400","0.32962","0.00156"
"3.96000","0.33016","0.00152"
"3.96600","0.33064","0.00141"
"3.97200","0.33117","0.00136"
"3.97800","0.33165","0.00138"
"3.98400","0.33213","0.00132"
"3.99000","0.33267","0.00137"
"3.99600","0.33315","0.00137"
"4.00200","0.33363","0.00124"
"4.00800","0.33416","0.00125"
"4.01400","0.33464","0.00132"
"4.02000","0.33512","0.00145"
"4.02600","0.33566","0.00160"
"4.03200","0.33614","0.00159"
"4.03800","0.33667","0.00153"
"4.04400","0.33715","0.00156"
"4.05000","0.33763","0.00154"
"4.05600","0.33817","0.00153"
"4.06200","0.33865","0.00158"
"4.06800","0.33919","0.00161"
"4.07400","0.33966","0.00164"
"4.08000","0.34020","0.00166"
"4.08600","0.34068","0.00168"
"4.09200","0.34116","0.00174"
"4.09800","0.34170","0.00165"
"4.10400","0.34218","0.00157"
"4.11000","0.34271","0.00156"
"4.11600","0.34319","0.00145"
"4.12200","0.34373","0.00141"
"4.12800","0.34421","0.00155"
"4.13400","0.34475","0.00169"
"4.14000","0.34522","0.00189"
"4.14600","0.34576","0.00187"
"4.15200","0.34624","0.00175"
"4.15800","0.34672","0.00172"
"4.16400","0.34726","0.00169"
"4.17000","0.34774","0.00158"
"4.17600","0.34821","0.00150"
"4.18200","0.34869","0.00135"
"4.18800","0.34923","0.00129"
"4.19400","0.34971","0.00134"
"4.20000","0.35025","0.00142"
"4.20600","0.35073","0.00159"
"4.21200","0.35120","0.00163"
"4.21800","0.35174","0.00153"
"4.22400","0.35222","0.00150"
"4.23000","0.35270","0.00153"
"4.23600","0.35324","0.00151"
"4.24200","0.35371","0.00159"
"4.24800","0.35419","0.00158"
"4.25400","0.35473","0.00161"
"4.26000","0.35521","0.00177"
"4.26600","0.35569","0.00180"
"4.27200","0.35623","0.00175"
"4.27800","0.35670","0.00170"
"4.28400","0.35724","0.00161"
"4.29000","0.35772","0.00173"
"4.29600","0.35826","0.00191"
"4.30200","0.35874","0.00200"
"4.30800","0.35922","0.00216"
"4.31400","0.35975","0.00221"
"4.32000","0.36023","0.00222"
"4.32600","0.36071","0.00228"
"4.33200","0.36125","0.00222"
"4.33800","0.36173","0.00224"
"4.34400","0.36220","0.00240"
"4.35000","0.36274","0.00232"
"4.35600","0.36322","0.00226"
"4.36200","0.36370","0.00225"
"4.36800","0.36424","0.00209"
"4.37400","0.36472","0.00206"
"4.38000","0.36525","0.00216"
"4.38600","0.36573","0.00221"
"4.39200","0.36627","0.00221"
"4.39800","0.36675","0.00202"
"4.40400","0.36723","0.00187"
"4.41000","0.36777","0.00179"
"4.41600","0.36824","0.00166"
