End date,"1/21/2017"
Specimen label,"19DT_NT"
Maximum Load,"0.07495",N

Time,Extension,Load
(s),(mm),(N)
"2.62200","0.21877","-0.00509"
"2.62800","0.21925","-0.00519"
"2.63400","0.21973","-0.00520"
"2.64000","0.22020","-0.00512"
"2.64600","0.22068","-0.00508"
"2.65200","0.22122","-0.00503"
"2.65800","0.22170","-0.00491"
"2.66400","0.22218","-0.00473"
"2.67000","0.22272","-0.00469"
"2.67600","0.22319","-0.00471"
"2.68200","0.22367","-0.00467"
"2.68800","0.22421","-0.00465"
"2.69400","0.22469","-0.00476"
"2.70000","0.22523","-0.00468"
"2.70600","0.22571","-0.00466"
"2.71200","0.22624","-0.00490"
"2.71800","0.22672","-0.00510"
"2.72400","0.22726","-0.00534"
"2.73000","0.22774","-0.00548"
"2.73600","0.22828","-0.00547"
"2.74200","0.22875","-0.00538"
"2.74800","0.22923","-0.00511"
"2.75400","0.22977","-0.00493"
"2.76000","0.23025","-0.00483"
"2.76600","0.23073","-0.00469"
"2.77200","0.23121","-0.00469"
"2.77800","0.23174","-0.00466"
"2.78400","0.23222","-0.00453"
"2.79000","0.23270","-0.00440"
"2.79600","0.23318","-0.00443"
"2.80200","0.23366","-0.00450"
"2.80800","0.23414","-0.00464"
"2.81400","0.23467","-0.00469"
"2.82000","0.23515","-0.00474"
"2.82600","0.23563","-0.00480"
"2.83200","0.23611","-0.00458"
"2.83800","0.23665","-0.00439"
"2.84400","0.23713","-0.00430"
"2.85000","0.23766","-0.00438"
"2.85600","0.23814","-0.00462"
"2.86200","0.23862","-0.00486"
"2.86800","0.23916","-0.00496"
"2.87400","0.23964","-0.00507"
"2.88000","0.24017","-0.00514"
"2.88600","0.24065","-0.00520"
"2.89200","0.24119","-0.00516"
"2.89800","0.24167","-0.00497"
"2.90400","0.24221","-0.00487"
"2.91000","0.24269","-0.00496"
"2.91600","0.24316","-0.00515"
"2.92200","0.24364","-0.00526"
"2.92800","0.24418","-0.00531"
"2.93400","0.24466","-0.00522"
"2.94000","0.24514","-0.00527"
"2.94600","0.24568","-0.00535"
"2.95200","0.24615","-0.00522"
"2.95800","0.24663","-0.00512"
"2.96400","0.24711","-0.00506"
"2.97000","0.24765","-0.00494"
"2.97600","0.24813","-0.00481"
"2.98200","0.24860","-0.00466"
"2.98800","0.24914","-0.00473"
"2.99400","0.24962","-0.00488"
"3.00000","0.25016","-0.00502"
"3.00600","0.25064","-0.00512"
"3.01200","0.25118","-0.00516"
"3.01800","0.25165","-0.00514"
"3.02400","0.25219","-0.00514"
"3.03000","0.25267","-0.00505"
"3.03600","0.25321","-0.00491"
"3.04200","0.25369","-0.00484"
"3.04800","0.25417","-0.00479"
"3.05400","0.25464","-0.00485"
"3.06000","0.25518","-0.00493"
"3.06600","0.25566","-0.00491"
"3.07200","0.25614","-0.00488"
