End date,"12/23/2016"
Specimen label,"21CT_65"
Maximum Load,"0.01464",N

Time,Extension,Load
(s),(mm),(N)
"4.00200","0.33369","0.00403"
"4.00800","0.33416","0.00400"
"4.01400","0.33470","0.00395"
"4.02000","0.33518","0.00390"
"4.02600","0.33566","0.00382"
"4.03200","0.33614","0.00368"
"4.03800","0.33667","0.00361"
"4.04400","0.33715","0.00379"
"4.05000","0.33763","0.00395"
"4.05600","0.33811","0.00398"
"4.06200","0.33859","0.00403"
"4.06800","0.33913","0.00403"
"4.07400","0.33960","0.00395"
"4.08000","0.34014","0.00397"
"4.08600","0.34062","0.00393"
"4.09200","0.34116","0.00387"
"4.09800","0.34164","0.00383"
"4.10400","0.34218","0.00376"
"4.11000","0.34265","0.00375"
"4.11600","0.34319","0.00372"
"4.12200","0.34373","0.00365"
"4.12800","0.34421","0.00369"
"4.13400","0.34475","0.00371"
"4.14000","0.34522","0.00378"
"4.14600","0.34576","0.00386"
"4.15200","0.34624","0.00394"
"4.15800","0.34672","0.00404"
"4.16400","0.34726","0.00414"
"4.17000","0.34774","0.00413"
"4.17600","0.34827","0.00409"
"4.18200","0.34875","0.00412"
"4.18800","0.34923","0.00410"
"4.19400","0.34977","0.00404"
"4.20000","0.35025","0.00403"
"4.20600","0.35073","0.00399"
"4.21200","0.35126","0.00397"
"4.21800","0.35174","0.00384"
"4.22400","0.35222","0.00376"
"4.23000","0.35276","0.00387"
"4.23600","0.35324","0.00389"
"4.24200","0.35377","0.00396"
"4.24800","0.35425","0.00403"
"4.25400","0.35479","0.00400"
"4.26000","0.35527","0.00404"
"4.26600","0.35581","0.00415"
"4.27200","0.35629","0.00417"
"4.27800","0.35676","0.00424"
"4.28400","0.35724","0.00424"
"4.29000","0.35778","0.00416"
"4.29600","0.35826","0.00413"
"4.30200","0.35874","0.00404"
"4.30800","0.35922","0.00403"
"4.31400","0.35969","0.00407"
"4.32000","0.36023","0.00409"
"4.32600","0.36071","0.00417"
"4.33200","0.36119","0.00422"
"4.33800","0.36173","0.00421"
"4.34400","0.36220","0.00419"
"4.35000","0.36274","0.00416"
"4.35600","0.36322","0.00411"
"4.36200","0.36370","0.00409"
"4.36800","0.36424","0.00394"
"4.37400","0.36472","0.00379"
"4.38000","0.36525","0.00373"
"4.38600","0.36573","0.00370"
"4.39200","0.36627","0.00377"
"4.39800","0.36675","0.00382"
"4.40400","0.36729","0.00381"
"4.41000","0.36777","0.00382"
"4.41600","0.36824","0.00388"
"4.42200","0.36878","0.00391"
"4.42800","0.36926","0.00398"
"4.43400","0.36974","0.00405"
"4.44000","0.37028","0.00407"
"4.44600","0.37075","0.00412"
"4.45200","0.37123","0.00410"
"4.45800","0.37171","0.00407"
"4.46400","0.37219","0.00408"
"4.47000","0.37273","0.00403"
"4.47600","0.37321","0.00399"
"4.48200","0.37368","0.00398"
"4.48800","0.37422","0.00395"
"4.49400","0.37470","0.00397"
"4.50000","0.37518","0.00396"
"4.50600","0.37566","0.00386"
"4.51200","0.37620","0.00383"
"4.51800","0.37667","0.00389"
"4.52400","0.37721","0.00394"
"4.53000","0.37769","0.00404"
"4.53600","0.37823","0.00412"
"4.54200","0.37871","0.00423"
"4.54800","0.37919","0.00434"
"4.55400","0.37972","0.00430"
"4.56000","0.38020","0.00428"
"4.56600","0.38068","0.00421"
"4.57200","0.38122","0.00410"
"4.57800","0.38170","0.00414"
"4.58400","0.38217","0.00414"
"4.59000","0.38265","0.00409"
"4.59600","0.38313","0.00411"
"4.60200","0.38367","0.00404"
"4.60800","0.38415","0.00394"
"4.61400","0.38463","0.00390"
"4.62000","0.38516","0.00384"
"4.62600","0.38564","0.00389"
"4.63200","0.38618","0.00399"
"4.63800","0.38666","0.00395"
"4.64400","0.38714","0.00403"
"4.65000","0.38768","0.00413"
"4.65600","0.38815","0.00410"
"4.66200","0.38869","0.00413"
"4.66800","0.38917","0.00407"
"4.67400","0.38971","0.00389"
"4.68000","0.39019","0.00378"
"4.68600","0.39072","0.00370"
"4.69200","0.39120","0.00368"
"4.69800","0.39174","0.00380"
"4.70400","0.39222","0.00398"
"4.71000","0.39276","0.00416"
"4.71600","0.39324","0.00420"
"4.72200","0.39371","0.00408"
"4.72800","0.39425","0.00397"
"4.73400","0.39473","0.00384"
"4.74000","0.39521","0.00374"
"4.74600","0.39575","0.00381"
"4.75200","0.39623","0.00392"
"4.75800","0.39670","0.00400"
"4.76400","0.39724","0.00411"
"4.77000","0.39772","0.00421"
"4.77600","0.39820","0.00436"
"4.78200","0.39874","0.00444"
"4.78800","0.39921","0.00441"
"4.79400","0.39969","0.00440"
"4.80000","0.40023","0.00433"
"4.80600","0.40071","0.00420"
"4.81200","0.40119","0.00409"
"4.81800","0.40173","0.00397"
"4.82400","0.40226","0.00394"
