End date,"12/21/2016"
Specimen label,"23DGG_81"
Maximum Load,"0.23561",N

Time,Extension,Load
(s),(mm),(N)
"4.59600","0.38319","0.00151"
"4.60200","0.38373","0.00153"
"4.60800","0.38421","0.00151"
"4.61400","0.38469","0.00146"
"4.62000","0.38522","0.00144"
"4.62600","0.38570","0.00138"
"4.63200","0.38618","0.00142"
"4.63800","0.38672","0.00149"
"4.64400","0.38720","0.00145"
"4.65000","0.38768","0.00150"
"4.65600","0.38821","0.00155"
"4.66200","0.38869","0.00149"
"4.66800","0.38917","0.00154"
"4.67400","0.38971","0.00165"
"4.68000","0.39019","0.00174"
"4.68600","0.39072","0.00178"
"4.69200","0.39120","0.00173"
"4.69800","0.39168","0.00163"
"4.70400","0.39222","0.00158"
"4.71000","0.39270","0.00149"
"4.71600","0.39324","0.00141"
"4.72200","0.39371","0.00143"
"4.72800","0.39419","0.00147"
"4.73400","0.39467","0.00154"
"4.74000","0.39521","0.00165"
"4.74600","0.39569","0.00168"
"4.75200","0.39617","0.00170"
"4.75800","0.39670","0.00164"
"4.76400","0.39718","0.00155"
"4.77000","0.39766","0.00154"
"4.77600","0.39820","0.00153"
"4.78200","0.39868","0.00157"
"4.78800","0.39915","0.00166"
"4.79400","0.39969","0.00168"
"4.80000","0.40017","0.00171"
"4.80600","0.40065","0.00172"
"4.81200","0.40119","0.00159"
