End date,"1/22/2017"
Specimen label,"18BG_46 run 2"
Maximum Load,"0.06005",N

Time,Extension,Load
(s),(mm),(N)
"3.94200","29.72574","0.04897"
"3.94800","29.72622","0.04894"
"3.95400","29.72676","0.04891"
"3.96000","29.72724","0.04881"
"3.96600","29.72771","0.04865"
"3.97200","29.72825","0.04852"
"3.97800","29.72873","0.04844"
"3.98400","29.72921","0.04844"
"3.99000","29.72969","0.04846"
"3.99600","29.73023","0.04860"
"4.00200","29.73070","0.04875"
"4.00800","29.73118","0.04887"
"4.01400","29.73172","0.04890"
"4.02000","29.73220","0.04888"
"4.02600","29.73268","0.04872"
"4.03200","29.73322","0.04850"
"4.03800","29.73369","0.04846"
"4.04400","29.73423","0.04848"
"4.05000","29.73471","0.04845"
"4.05600","29.73519","0.04855"
"4.06200","29.73567","0.04866"
"4.06800","29.73621","0.04878"
"4.07400","29.73668","0.04889"
"4.08000","29.73716","0.04892"
"4.08600","29.73764","0.04888"
"4.09200","29.73812","0.04884"
"4.09800","29.73866","0.04872"
"4.10400","29.73913","0.04858"
"4.11000","29.73961","0.04854"
"4.11600","29.74015","0.04855"
"4.12200","29.74063","0.04855"
"4.12800","29.74111","0.04862"
"4.13400","29.74165","0.04867"
"4.14000","29.74212","0.04874"
"4.14600","29.74260","0.04880"
"4.15200","29.74314","0.04872"
"4.15800","29.74362","0.04866"
"4.16400","29.74416","0.04856"
"4.17000","29.74464","0.04843"
"4.17600","29.74517","0.04853"
"4.18200","29.74565","0.04865"
"4.18800","29.74619","0.04866"
"4.19400","29.74667","0.04875"
"4.20000","29.74721","0.04875"
"4.20600","29.74768","0.04868"
"4.21200","29.74816","0.04866"
"4.21800","29.74870","0.04868"
"4.22400","29.74918","0.04877"
"4.23000","29.74966","0.04879"
"4.23600","29.75014","0.04865"
"4.24200","29.75067","0.04861"
"4.24800","29.75115","0.04854"
"4.25400","29.75163","0.04853"
"4.26000","29.75217","0.04853"
"4.26600","29.75265","0.04857"
"4.27200","29.75319","0.04866"
"4.27800","29.75366","0.04870"
"4.28400","29.75414","0.04872"
"4.29000","29.75468","0.04871"
"4.29600","29.75516","0.04868"
"4.30200","29.75570","0.04865"
"4.30800","29.75618","0.04850"
"4.31400","29.75665","0.04837"
"4.32000","29.75719","0.04843"
"4.32600","29.75767","0.04851"
"4.33200","29.75821","0.04857"
"4.33800","29.75869","0.04854"
"4.34400","29.75916","0.04853"
"4.35000","29.75964","0.04852"
"4.35600","29.76012","0.04850"
"4.36200","29.76066","0.04849"
"4.36800","29.76114","0.04848"
"4.37400","29.76161","0.04858"
"4.38000","29.76215","0.04863"
"4.38600","29.76263","0.04867"
"4.39200","29.76311","0.04876"
"4.39800","29.76365","0.04889"
"4.40400","29.76413","0.04894"
"4.41000","29.76467","0.04900"
"4.41600","29.76514","0.04906"
"4.42200","29.76562","0.04908"
"4.42800","29.76616","0.04904"
"4.43400","29.76664","0.04897"
"4.44000","29.76718","0.04890"
"4.44600","29.76765","0.04889"
"4.45200","29.76819","0.04893"
"4.45800","29.76867","0.04901"
"4.46400","29.76921","0.04899"
"4.47000","29.76969","0.04895"
"4.47600","29.77023","0.04897"
"4.48200","29.77070","0.04894"
"4.48800","29.77118","0.04893"
"4.49400","29.77166","0.04906"
"4.50000","29.77220","0.04914"
"4.50600","29.77268","0.04913"
"4.51200","29.77316","0.04917"
"4.51800","29.77369","0.04915"
"4.52400","29.77417","0.04907"
"4.53000","29.77465","0.04901"
"4.53600","29.77513","0.04904"
"4.54200","29.77567","0.04898"
"4.54800","29.77614","0.04877"
"4.55400","29.77662","0.04862"
"4.56000","29.77716","0.04855"
"4.56600","29.77764","0.04842"
"4.57200","29.77812","0.04842"
"4.57800","29.77866","0.04850"
"4.58400","29.77913","0.04857"
"4.59000","29.77967","0.04870"
"4.59600","29.78015","0.04882"
"4.60200","29.78063","0.04879"
"4.60800","29.78117","0.04875"
"4.61400","29.78165","0.04878"
"4.62000","29.78218","0.04892"
"4.62600","29.78266","0.04900"
"4.63200","29.78314","0.04894"
"4.63800","29.78362","0.04886"
"4.64400","29.78410","0.04884"
"4.65000","29.78457","0.04876"
"4.65600","29.78511","0.04873"
"4.66200","29.78559","0.04878"
"4.66800","29.78607","0.04880"
"4.67400","29.78661","0.04887"
"4.68000","29.78709","0.04892"
"4.68600","29.78763","0.04901"
"4.69200","29.78810","0.04898"
"4.69800","29.78858","0.04894"
"4.70400","29.78906","0.04888"
"4.71000","29.78960","0.04883"
"4.71600","29.79008","0.04873"
"4.72200","29.79062","0.04876"
"4.72800","29.79109","0.04887"
"4.73400","29.79157","0.04898"
"4.74000","29.79211","0.04903"
"4.74600","29.79259","0.04898"
"4.75200","29.79313","0.04897"
"4.75800","29.79361","0.04898"
"4.76400","29.79414","0.04894"
"4.77000","29.79462","0.04889"
"4.77600","29.79516","0.04889"
"4.78200","29.79564","0.04891"
"4.78800","29.79618","0.04900"
"4.79400","29.79665","0.04911"
"4.80000","29.79719","0.04915"
"4.80600","29.79767","0.04918"
"4.81200","29.79815","0.04926"
"4.81800","29.79869","0.04929"
