End date,"11/14/2016"
Specimen label,"20BT63.2"
Maximum Load,"0.14899",N

Time,Extension,Load
(s),(mm),(N)
"4.38600","0.36561","0.00264"
"4.39200","0.36609","0.00258"
"4.39800","0.36663","0.00256"
"4.40400","0.36711","0.00271"
"4.41000","0.36765","0.00296"
"4.41600","0.36812","0.00320"
"4.42200","0.36866","0.00357"
"4.42800","0.36920","0.00387"
"4.43400","0.36968","0.00400"
"4.44000","0.37016","0.00410"
"4.44600","0.37070","0.00415"
"4.45200","0.37117","0.00417"
"4.45800","0.37165","0.00400"
"4.46400","0.37219","0.00386"
"4.47000","0.37267","0.00361"
"4.47600","0.37315","0.00336"
"4.48200","0.37368","0.00319"
"4.48800","0.37416","0.00325"
"4.49400","0.37470","0.00334"
"4.50000","0.37518","0.00349"
"4.50600","0.37566","0.00368"
"4.51200","0.37614","0.00371"
"4.51800","0.37667","0.00344"
"4.52400","0.37715","0.00332"
"4.53000","0.37763","0.00311"
"4.53600","0.37817","0.00294"
"4.54200","0.37865","0.00286"
"4.54800","0.37919","0.00304"
"4.55400","0.37966","0.00318"
"4.56000","0.38020","0.00302"
"4.56600","0.38068","0.00298"
"4.57200","0.38122","0.00288"
"4.57800","0.38170","0.00275"
"4.58400","0.38223","0.00273"
"4.59000","0.38271","0.00253"
"4.59600","0.38319","0.00232"
"4.60200","0.38367","0.00211"
"4.60800","0.38421","0.00200"
"4.61400","0.38469","0.00194"
"4.62000","0.38516","0.00190"
"4.62600","0.38564","0.00206"
"4.63200","0.38618","0.00214"
"4.63800","0.38666","0.00230"
"4.64400","0.38714","0.00250"
"4.65000","0.38768","0.00270"
"4.65600","0.38815","0.00276"
"4.66200","0.38869","0.00270"
"4.66800","0.38917","0.00261"
"4.67400","0.38965","0.00254"
"4.68000","0.39019","0.00251"
"4.68600","0.39066","0.00256"
"4.69200","0.39120","0.00270"
"4.69800","0.39168","0.00274"
"4.70400","0.39222","0.00281"
"4.71000","0.39270","0.00279"
"4.71600","0.39324","0.00274"
"4.72200","0.39371","0.00270"
"4.72800","0.39419","0.00275"
