End date,"11/14/2016"
Specimen label,"20BT60"
Maximum Load,"0.35281",N

Time,Extension,Load
(s),(mm),(N)
"3.80400","0.31718","0.00242"
"3.81000","0.31772","0.00236"
"3.81600","0.31820","0.00247"
"3.82200","0.31868","0.00240"
"3.82800","0.31916","0.00222"
"3.83400","0.31969","0.00222"
"3.84000","0.32017","0.00227"
"3.84600","0.32065","0.00237"
"3.85200","0.32119","0.00265"
"3.85800","0.32167","0.00275"
"3.86400","0.32215","0.00285"
"3.87000","0.32268","0.00299"
"3.87600","0.32316","0.00300"
"3.88200","0.32370","0.00306"
"3.88800","0.32418","0.00332"
"3.89400","0.32472","0.00356"
"3.90000","0.32520","0.00363"
"3.90600","0.32573","0.00344"
"3.91200","0.32621","0.00330"
"3.91800","0.32675","0.00307"
"3.92400","0.32723","0.00297"
"3.93000","0.32771","0.00283"
"3.93600","0.32824","0.00277"
"3.94200","0.32872","0.00284"
"3.94800","0.32920","0.00292"
"3.95400","0.32974","0.00305"
"3.96000","0.33022","0.00325"
"3.96600","0.33070","0.00322"
"3.97200","0.33123","0.00307"
"3.97800","0.33171","0.00295"
"3.98400","0.33225","0.00289"
"3.99000","0.33273","0.00284"
"3.99600","0.33321","0.00276"
"4.00200","0.33375","0.00269"
"4.00800","0.33422","0.00279"
"4.01400","0.33470","0.00288"
"4.02000","0.33524","0.00303"
"4.02600","0.33572","0.00307"
"4.03200","0.33626","0.00302"
"4.03800","0.33673","0.00299"
"4.04400","0.33721","0.00286"
"4.05000","0.33775","0.00268"
"4.05600","0.33829","0.00275"
"4.06200","0.33877","0.00280"
"4.06800","0.33931","0.00279"
"4.07400","0.33978","0.00283"
"4.08000","0.34026","0.00270"
"4.08600","0.34080","0.00256"
"4.09200","0.34128","0.00245"
"4.09800","0.34176","0.00244"
"4.10400","0.34230","0.00235"
"4.11000","0.34277","0.00233"
"4.11600","0.34325","0.00236"
"4.12200","0.34379","0.00247"
"4.12800","0.34427","0.00263"
"4.13400","0.34475","0.00273"
"4.14000","0.34522","0.00298"
"4.14600","0.34576","0.00331"
"4.15200","0.34624","0.00335"
"4.15800","0.34672","0.00335"
"4.16400","0.34720","0.00325"
"4.17000","0.34774","0.00311"
"4.17600","0.34821","0.00283"
"4.18200","0.34869","0.00269"
"4.18800","0.34923","0.00263"
"4.19400","0.34977","0.00278"
"4.20000","0.35025","0.00286"
"4.20600","0.35079","0.00286"
"4.21200","0.35126","0.00293"
"4.21800","0.35174","0.00315"
"4.22400","0.35228","0.00326"
"4.23000","0.35276","0.00324"
"4.23600","0.35324","0.00321"
"4.24200","0.35371","0.00324"
"4.24800","0.35425","0.00322"
"4.25400","0.35473","0.00314"
"4.26000","0.35521","0.00318"
"4.26600","0.35569","0.00316"
"4.27200","0.35617","0.00310"
"4.27800","0.35670","0.00301"
"4.28400","0.35718","0.00302"
"4.29000","0.35766","0.00316"
"4.29600","0.35820","0.00338"
"4.30200","0.35868","0.00339"
"4.30800","0.35916","0.00333"
"4.31400","0.35969","0.00307"
"4.32000","0.36017","0.00292"
"4.32600","0.36065","0.00289"
"4.33200","0.36119","0.00269"
"4.33800","0.36167","0.00246"
"4.34400","0.36215","0.00238"
"4.35000","0.36268","0.00233"
"4.35600","0.36322","0.00246"
"4.36200","0.36370","0.00262"
"4.36800","0.36418","0.00273"
"4.37400","0.36472","0.00274"
"4.38000","0.36519","0.00252"
"4.38600","0.36567","0.00254"
"4.39200","0.36615","0.00275"
"4.39800","0.36669","0.00269"
"4.40400","0.36717","0.00261"
"4.41000","0.36765","0.00242"
"4.41600","0.36812","0.00225"
"4.42200","0.36866","0.00220"
"4.42800","0.36914","0.00231"
"4.43400","0.36968","0.00262"
"4.44000","0.37016","0.00286"
"4.44600","0.37070","0.00302"
"4.45200","0.37117","0.00306"
"4.45800","0.37171","0.00299"
"4.46400","0.37219","0.00301"
"4.47000","0.37273","0.00315"
"4.47600","0.37321","0.00328"
"4.48200","0.37374","0.00327"
"4.48800","0.37422","0.00314"
"4.49400","0.37476","0.00299"
"4.50000","0.37530","0.00300"
"4.50600","0.37578","0.00319"
"4.51200","0.37626","0.00315"
"4.51800","0.37679","0.00305"
"4.52400","0.37727","0.00287"
"4.53000","0.37781","0.00275"
"4.53600","0.37829","0.00292"
"4.54200","0.37877","0.00313"
"4.54800","0.37925","0.00311"
"4.55400","0.37972","0.00304"
"4.56000","0.38020","0.00314"
"4.56600","0.38074","0.00332"
"4.57200","0.38122","0.00347"
"4.57800","0.38170","0.00361"
"4.58400","0.38217","0.00385"
"4.59000","0.38271","0.00392"
"4.59600","0.38319","0.00382"
"4.60200","0.38367","0.00362"
"4.60800","0.38421","0.00342"
"4.61400","0.38469","0.00323"
"4.62000","0.38522","0.00307"
"4.62600","0.38570","0.00293"
"4.63200","0.38624","0.00283"
"4.63800","0.38672","0.00272"
"4.64400","0.38726","0.00267"
"4.65000","0.38774","0.00272"
