End date,"11/14/2016"
Specimen label,"20AG60"
Maximum Load,"1.40394",N

Time,Extension,Load
(s),(mm),(N)
"4.14600","17.75056","0.05325"
"4.15200","17.75109","0.05327"
"4.15800","17.75157","0.05330"
"4.16400","17.75205","0.05331"
"4.17000","17.75259","0.05333"
"4.17600","17.75307","0.05335"
"4.18200","17.75355","0.05337"
"4.18800","17.75408","0.05336"
"4.19400","17.75456","0.05335"
"4.20000","17.75504","0.05331"
"4.20600","17.75558","0.05330"
"4.21200","17.75606","0.05330"
"4.21800","17.75659","0.05329"
"4.22400","17.75707","0.05329"
"4.23000","17.75761","0.05328"
"4.23600","17.75809","0.05325"
"4.24200","17.75857","0.05325"
"4.24800","17.75911","0.05326"
"4.25400","17.75958","0.05329"
"4.26000","17.76012","0.05332"
"4.26600","17.76060","0.05333"
"4.27200","17.76114","0.05337"
"4.27800","17.76162","0.05339"
"4.28400","17.76215","0.05339"
"4.29000","17.76263","0.05339"
"4.29600","17.76311","0.05337"
"4.30200","17.76365","0.05337"
"4.30800","17.76413","0.05338"
"4.31400","17.76461","0.05337"
"4.32000","17.76509","0.05337"
"4.32600","17.76556","0.05339"
"4.33200","17.76604","0.05340"
"4.33800","17.76658","0.05342"
"4.34400","17.76706","0.05344"
"4.35000","17.76754","0.05347"
"4.35600","17.76807","0.05347"
"4.36200","17.76855","0.05347"
"4.36800","17.76909","0.05348"
"4.37400","17.76957","0.05351"
"4.38000","17.77011","0.05353"
"4.38600","17.77058","0.05352"
"4.39200","17.77112","0.05352"
"4.39800","17.77160","0.05349"
"4.40400","17.77214","0.05347"
"4.41000","17.77262","0.05345"
"4.41600","17.77310","0.05344"
"4.42200","17.77363","0.05344"
"4.42800","17.77411","0.05345"
"4.43400","17.77465","0.05345"
"4.44000","17.77513","0.05346"
"4.44600","17.77561","0.05348"
"4.45200","17.77614","0.05349"
"4.45800","17.77662","0.05351"
"4.46400","17.77710","0.05350"
"4.47000","17.77758","0.05349"
"4.47600","17.77812","0.05348"
"4.48200","17.77860","0.05346"
"4.48800","17.77907","0.05345"
"4.49400","17.77961","0.05346"
"4.50000","17.78009","0.05343"
"4.50600","17.78057","0.05342"
"4.51200","17.78105","0.05340"
"4.51800","17.78159","0.05340"
"4.52400","17.78206","0.05341"
"4.53000","17.78254","0.05342"
"4.53600","17.78308","0.05343"
"4.54200","17.78356","0.05346"
"4.54800","17.78404","0.05348"
"4.55400","17.78457","0.05349"
"4.56000","17.78505","0.05349"
"4.56600","17.78559","0.05347"
"4.57200","17.78607","0.05344"
"4.57800","17.78655","0.05343"
"4.58400","17.78709","0.05341"
"4.59000","17.78757","0.05343"
"4.59600","17.78804","0.05346"
"4.60200","17.78858","0.05347"
"4.60800","17.78906","0.05349"
"4.61400","17.78954","0.05351"
"4.62000","17.79002","0.05351"
"4.62600","17.79055","0.05352"
"4.63200","17.79103","0.05351"
"4.63800","17.79151","0.05351"
"4.64400","17.79205","0.05349"
"4.65000","17.79253","0.05345"
"4.65600","17.79300","0.05344"
"4.66200","17.79348","0.05343"
"4.66800","17.79402","0.05344"
"4.67400","17.79450","0.05348"
"4.68000","17.79504","0.05350"
"4.68600","17.79552","0.05352"
"4.69200","17.79606","0.05353"
"4.69800","17.79653","0.05352"
"4.70400","17.79707","0.05351"
"4.71000","17.79755","0.05351"
"4.71600","17.79809","0.05352"
"4.72200","17.79857","0.05354"
"4.72800","17.79905","0.05356"
"4.73400","17.79958","0.05355"
"4.74000","17.80006","0.05357"
"4.74600","17.80054","0.05357"
"4.75200","17.80108","0.05358"
"4.75800","17.80156","0.05359"
"4.76400","17.80203","0.05357"
"4.77000","17.80257","0.05356"
"4.77600","17.80305","0.05355"
"4.78200","17.80353","0.05352"
"4.78800","17.80407","0.05350"
"4.79400","17.80455","0.05351"
"4.80000","17.80508","0.05352"
"4.80600","17.80556","0.05353"
"4.81200","17.80610","0.05352"
"4.81800","17.80658","0.05351"
"4.82400","17.80712","0.05352"
