End date,"1/7/2017"
Specimen label,"18_CTNT2"
Maximum Load,"0.07079",N

Time,Extension,Load
(s),(mm),(N)
"4.30800","0.35910","0.00041"
"4.31400","0.35963","0.00038"
"4.32000","0.36011","0.00030"
"4.32600","0.36065","0.00014"
"4.33200","0.36113","0.00006"
"4.33800","0.36167","0.00016"
"4.34400","0.36215","0.00027"
"4.35000","0.36268","0.00031"
"4.35600","0.36316","0.00036"
"4.36200","0.36370","0.00028"
"4.36800","0.36418","0.00017"
"4.37400","0.36466","0.00022"
"4.38000","0.36519","0.00030"
"4.38600","0.36567","0.00030"
"4.39200","0.36615","0.00036"
"4.39800","0.36663","0.00051"
"4.40400","0.36717","0.00057"
"4.41000","0.36765","0.00070"
"4.41600","0.36812","0.00079"
"4.42200","0.36866","0.00084"
"4.42800","0.36914","0.00073"
"4.43400","0.36962","0.00058"
"4.44000","0.37016","0.00057"
"4.44600","0.37064","0.00059"
"4.45200","0.37117","0.00047"
"4.45800","0.37165","0.00035"
"4.46400","0.37213","0.00018"
"4.47000","0.37267","-0.00003"
"4.47600","0.37315","-0.00030"
"4.48200","0.37368","-0.00046"
"4.48800","0.37416","-0.00045"
"4.49400","0.37470","-0.00050"
"4.50000","0.37518","-0.00047"
"4.50600","0.37572","-0.00032"
"4.51200","0.37620","-0.00016"
"4.51800","0.37673","-0.00009"
"4.52400","0.37721","-0.00002"
"4.53000","0.37769","0.00008"
"4.53600","0.37817","0.00017"
"4.54200","0.37865","0.00033"
"4.54800","0.37919","0.00043"
"4.55400","0.37966","0.00055"
"4.56000","0.38014","0.00045"
"4.56600","0.38062","0.00025"
"4.57200","0.38116","0.00019"
"4.57800","0.38164","0.00015"
"4.58400","0.38217","0.00011"
"4.59000","0.38265","0.00015"
"4.59600","0.38319","0.00009"
"4.60200","0.38367","0.00003"
"4.60800","0.38421","-0.00005"
"4.61400","0.38469","-0.00009"
"4.62000","0.38516","-0.00015"
"4.62600","0.38570","-0.00019"
"4.63200","0.38618","-0.00011"
"4.63800","0.38672","0.00016"
"4.64400","0.38720","0.00034"
"4.65000","0.38768","0.00028"
"4.65600","0.38821","0.00022"
"4.66200","0.38869","0.00025"
"4.66800","0.38917","0.00026"
"4.67400","0.38971","0.00044"
"4.68000","0.39019","0.00066"
"4.68600","0.39066","0.00081"
"4.69200","0.39114","0.00076"
"4.69800","0.39162","0.00061"
"4.70400","0.39216","0.00049"
"4.71000","0.39264","0.00033"
"4.71600","0.39312","0.00025"
"4.72200","0.39365","0.00029"
"4.72800","0.39413","0.00037"
"4.73400","0.39461","0.00023"
"4.74000","0.39515","0.00011"
"4.74600","0.39563","0.00008"
"4.75200","0.39611","0.00011"
