End date,"1/7/2017"
Specimen label,"18AT_47/49"
Maximum Load,"0.18800",N

Time,Extension,Load
(s),(mm),(N)
"3.53400","0.29464","-0.00039"
"3.54000","0.29518","-0.00040"
"3.54600","0.29566","-0.00049"
"3.55200","0.29614","-0.00064"
"3.55800","0.29668","-0.00072"
"3.56400","0.29715","-0.00088"
"3.57000","0.29769","-0.00097"
"3.57600","0.29817","-0.00095"
"3.58200","0.29871","-0.00093"
"3.58800","0.29919","-0.00082"
"3.59400","0.29967","-0.00080"
"3.60000","0.30020","-0.00084"
"3.60600","0.30068","-0.00076"
"3.61200","0.30116","-0.00078"
"3.61800","0.30164","-0.00075"
"3.62400","0.30212","-0.00068"
"3.63000","0.30265","-0.00067"
"3.63600","0.30313","-0.00064"
"3.64200","0.30361","-0.00052"
"3.64800","0.30415","-0.00038"
"3.65400","0.30463","-0.00026"
"3.66000","0.30517","-0.00027"
"3.66600","0.30564","-0.00028"
"3.67200","0.30612","-0.00019"
"3.67800","0.30666","-0.00021"
"3.68400","0.30714","-0.00031"
"3.69000","0.30768","-0.00050"
"3.69600","0.30822","-0.00063"
"3.70200","0.30869","-0.00056"
"3.70800","0.30923","-0.00042"
"3.71400","0.30971","-0.00037"
"3.72000","0.31025","-0.00040"
"3.72600","0.31079","-0.00056"
"3.73200","0.31126","-0.00062"
"3.73800","0.31174","-0.00059"
"3.74400","0.31228","-0.00047"
"3.75000","0.31276","-0.00028"
"3.75600","0.31324","-0.00006"
"3.76200","0.31372","0.00001"
"3.76800","0.31419","-0.00001"
"3.77400","0.31473","-0.00003"
"3.78000","0.31521","-0.00008"
"3.78600","0.31569","-0.00004"
"3.79200","0.31617","0.00005"
"3.79800","0.31671","0.00008"
"3.80400","0.31718","0.00007"
"3.81000","0.31772","0.00000"
"3.81600","0.31820","-0.00016"
"3.82200","0.31874","-0.00023"
"3.82800","0.31922","-0.00029"
"3.83400","0.31975","-0.00035"
"3.84000","0.32023","-0.00031"
"3.84600","0.32077","-0.00031"
"3.85200","0.32125","-0.00048"
"3.85800","0.32173","-0.00063"
"3.86400","0.32227","-0.00067"
"3.87000","0.32274","-0.00069"
"3.87600","0.32322","-0.00065"
"3.88200","0.32370","-0.00051"
"3.88800","0.32424","-0.00043"
"3.89400","0.32472","-0.00032"
"3.90000","0.32520","-0.00035"
"3.90600","0.32567","-0.00032"
"3.91200","0.32621","-0.00038"
"3.91800","0.32669","-0.00037"
"3.92400","0.32717","-0.00031"
"3.93000","0.32765","-0.00017"
"3.93600","0.32818","-0.00016"
"3.94200","0.32866","-0.00030"
"3.94800","0.32914","-0.00050"
"3.95400","0.32968","-0.00065"
"3.96000","0.33016","-0.00072"
"3.96600","0.33070","-0.00074"
"3.97200","0.33117","-0.00077"
"3.97800","0.33165","-0.00084"
"3.98400","0.33219","-0.00095"
"3.99000","0.33267","-0.00096"
"3.99600","0.33321","-0.00089"
"4.00200","0.33369","-0.00076"
"4.00800","0.33422","-0.00056"
"4.01400","0.33470","-0.00051"
"4.02000","0.33518","-0.00048"
