End date,"1/7/2017"
Specimen label,"18CT_NT1"
Maximum Load,"0.01610",N

Time,Extension,Load
(s),(mm),(N)
"4.24200","0.35371","0.00056"
"4.24800","0.35419","0.00053"
"4.25400","0.35467","0.00059"
"4.26000","0.35521","0.00060"
"4.26600","0.35569","0.00064"
"4.27200","0.35623","0.00079"
"4.27800","0.35670","0.00080"
"4.28400","0.35724","0.00072"
"4.29000","0.35772","0.00070"
"4.29600","0.35820","0.00059"
"4.30200","0.35868","0.00044"
"4.30800","0.35922","0.00030"
"4.31400","0.35969","0.00010"
"4.32000","0.36017","-0.00006"
"4.32600","0.36065","-0.00011"
"4.33200","0.36119","-0.00012"
"4.33800","0.36167","-0.00007"
"4.34400","0.36215","-0.00006"
"4.35000","0.36268","0.00007"
"4.35600","0.36316","0.00031"
"4.36200","0.36370","0.00044"
"4.36800","0.36418","0.00045"
"4.37400","0.36472","0.00042"
"4.38000","0.36519","0.00052"
"4.38600","0.36567","0.00062"
"4.39200","0.36621","0.00072"
"4.39800","0.36669","0.00078"
"4.40400","0.36717","0.00070"
"4.41000","0.36771","0.00066"
"4.41600","0.36818","0.00073"
"4.42200","0.36872","0.00067"
"4.42800","0.36920","0.00058"
"4.43400","0.36968","0.00061"
"4.44000","0.37022","0.00065"
"4.44600","0.37070","0.00061"
"4.45200","0.37117","0.00057"
"4.45800","0.37171","0.00053"
"4.46400","0.37219","0.00045"
"4.47000","0.37267","0.00039"
"4.47600","0.37321","0.00043"
"4.48200","0.37368","0.00049"
"4.48800","0.37416","0.00051"
"4.49400","0.37470","0.00047"
"4.50000","0.37518","0.00038"
"4.50600","0.37572","0.00028"
"4.51200","0.37620","0.00023"
"4.51800","0.37667","0.00031"
"4.52400","0.37721","0.00040"
"4.53000","0.37769","0.00040"
"4.53600","0.37817","0.00034"
"4.54200","0.37871","0.00017"
"4.54800","0.37919","0.00002"
"4.55400","0.37966","0.00002"
"4.56000","0.38020","0.00023"
"4.56600","0.38068","0.00049"
"4.57200","0.38116","0.00071"
"4.57800","0.38170","0.00076"
"4.58400","0.38217","0.00085"
"4.59000","0.38265","0.00093"
"4.59600","0.38313","0.00097"
"4.60200","0.38367","0.00106"
"4.60800","0.38415","0.00104"
"4.61400","0.38463","0.00101"
"4.62000","0.38516","0.00086"
"4.62600","0.38564","0.00068"
"4.63200","0.38612","0.00051"
"4.63800","0.38666","0.00044"
"4.64400","0.38714","0.00041"
"4.65000","0.38768","0.00045"
"4.65600","0.38815","0.00054"
"4.66200","0.38869","0.00059"
"4.66800","0.38917","0.00062"
"4.67400","0.38965","0.00065"
"4.68000","0.39019","0.00071"
"4.68600","0.39066","0.00091"
"4.69200","0.39114","0.00105"
"4.69800","0.39168","0.00110"
"4.70400","0.39216","0.00111"
"4.71000","0.39264","0.00118"
"4.71600","0.39318","0.00114"
"4.72200","0.39365","0.00099"
"4.72800","0.39413","0.00088"
"4.73400","0.39461","0.00076"
"4.74000","0.39515","0.00084"
"4.74600","0.39563","0.00084"
"4.75200","0.39617","0.00084"
"4.75800","0.39664","0.00083"
"4.76400","0.39718","0.00075"
