End date,"1/8/2017"
Specimen label,"11DG_Unk2"
Maximum Load,"0.18525",N

Time,Extension,Load
(s),(mm),(N)
"3.36000","2.00092","-0.00403"
"3.36600","2.00145","-0.00407"
"3.37200","2.00193","-0.00404"
"3.37800","2.00241","-0.00407"
"3.38400","2.00295","-0.00403"
"3.39000","2.00343","-0.00392"
"3.39600","2.00391","-0.00383"
"3.40200","2.00444","-0.00386"
"3.40800","2.00492","-0.00389"
"3.41400","2.00546","-0.00394"
"3.42000","2.00594","-0.00403"
"3.42600","2.00642","-0.00408"
"3.43200","2.00696","-0.00408"
"3.43800","2.00743","-0.00402"
"3.44400","2.00791","-0.00405"
"3.45000","2.00845","-0.00412"
"3.45600","2.00893","-0.00409"
"3.46200","2.00941","-0.00398"
"3.46800","2.00994","-0.00389"
"3.47400","2.01042","-0.00390"
"3.48000","2.01090","-0.00401"
"3.48600","2.01144","-0.00417"
"3.49200","2.01192","-0.00436"
"3.49800","2.01246","-0.00443"
"3.50400","2.01293","-0.00438"
"3.51000","2.01347","-0.00435"
"3.51600","2.01395","-0.00438"
"3.52200","2.01443","-0.00428"
"3.52800","2.01497","-0.00411"
"3.53400","2.01545","-0.00414"
"3.54000","2.01592","-0.00419"
"3.54600","2.01646","-0.00415"
"3.55200","2.01694","-0.00408"
"3.55800","2.01742","-0.00400"
"3.56400","2.01796","-0.00400"
"3.57000","2.01843","-0.00403"
"3.57600","2.01897","-0.00403"
"3.58200","2.01945","-0.00394"
"3.58800","2.01993","-0.00388"
"3.59400","2.02047","-0.00388"
"3.60000","2.02095","-0.00401"
"3.60600","2.02142","-0.00409"
"3.61200","2.02190","-0.00404"
"3.61800","2.02238","-0.00389"
"3.62400","2.02292","-0.00380"
"3.63000","2.02340","-0.00388"
"3.63600","2.02388","-0.00395"
"3.64200","2.02441","-0.00396"
"3.64800","2.02489","-0.00403"
"3.65400","2.02537","-0.00415"
"3.66000","2.02591","-0.00417"
"3.66600","2.02639","-0.00422"
"3.67200","2.02687","-0.00411"
"3.67800","2.02740","-0.00400"
"3.68400","2.02788","-0.00405"
"3.69000","2.02836","-0.00407"
"3.69600","2.02890","-0.00406"
"3.70200","2.02938","-0.00415"
"3.70800","2.02991","-0.00422"
"3.71400","2.03039","-0.00416"
"3.72000","2.03087","-0.00412"
"3.72600","2.03141","-0.00410"
"3.73200","2.03189","-0.00401"
"3.73800","2.03243","-0.00398"
"3.74400","2.03290","-0.00392"
"3.75000","2.03338","-0.00389"
"3.75600","2.03386","-0.00393"
"3.76200","2.03440","-0.00408"
"3.76800","2.03488","-0.00418"
"3.77400","2.03536","-0.00426"
"3.78000","2.03589","-0.00428"
"3.78600","2.03637","-0.00421"
"3.79200","2.03691","-0.00411"
"3.79800","2.03739","-0.00397"
"3.80400","2.03787","-0.00386"
"3.81000","2.03840","-0.00382"
"3.81600","2.03888","-0.00375"
"3.82200","2.03936","-0.00368"
"3.82800","2.03990","-0.00369"
"3.83400","2.04038","-0.00368"
"3.84000","2.04092","-0.00368"
"3.84600","2.04139","-0.00374"
"3.85200","2.04193","-0.00382"
"3.85800","2.04241","-0.00380"
"3.86400","2.04295","-0.00372"
"3.87000","2.04343","-0.00361"
"3.87600","2.04391","-0.00345"
"3.88200","2.04444","-0.00338"
"3.88800","2.04492","-0.00337"
"3.89400","2.04540","-0.00345"
"3.90000","2.04594","-0.00364"
"3.90600","2.04642","-0.00377"
"3.91200","2.04689","-0.00391"
"3.91800","2.04743","-0.00416"
"3.92400","2.04791","-0.00431"
"3.93000","2.04845","-0.00441"
"3.93600","2.04893","-0.00455"
"3.94200","2.04947","-0.00457"
"3.94800","2.04994","-0.00442"
"3.95400","2.05042","-0.00422"
"3.96000","2.05090","-0.00407"
"3.96600","2.05144","-0.00407"
"3.97200","2.05192","-0.00400"
"3.97800","2.05245","-0.00388"
"3.98400","2.05293","-0.00388"
"3.99000","2.05347","-0.00381"
"3.99600","2.05395","-0.00372"
"4.00200","2.05449","-0.00374"
"4.00800","2.05497","-0.00363"
"4.01400","2.05550","-0.00351"
"4.02000","2.05598","-0.00349"
"4.02600","2.05646","-0.00359"
"4.03200","2.05700","-0.00369"
"4.03800","2.05748","-0.00381"
"4.04400","2.05796","-0.00391"
"4.05000","2.05843","-0.00402"
"4.05600","2.05897","-0.00412"
"4.06200","2.05945","-0.00418"
"4.06800","2.05993","-0.00423"
"4.07400","2.06047","-0.00418"
"4.08000","2.06095","-0.00406"
"4.08600","2.06148","-0.00397"
"4.09200","2.06196","-0.00395"
"4.09800","2.06244","-0.00395"
"4.10400","2.06298","-0.00391"
"4.11000","2.06346","-0.00387"
"4.11600","2.06393","-0.00383"
"4.12200","2.06441","-0.00368"
"4.12800","2.06495","-0.00363"
"4.13400","2.06543","-0.00375"
"4.14000","2.06597","-0.00392"
"4.14600","2.06651","-0.00386"
"4.15200","2.06698","-0.00379"
"4.15800","2.06746","-0.00382"
"4.16400","2.06800","-0.00384"
"4.17000","2.06848","-0.00392"
"4.17600","2.06896","-0.00389"
"4.18200","2.06944","-0.00383"
"4.18800","2.06997","-0.00382"
"4.19400","2.07045","-0.00377"
"4.20000","2.07093","-0.00386"
"4.20600","2.07147","-0.00399"
"4.21200","2.07195","-0.00396"
"4.21800","2.07242","-0.00389"
"4.22400","2.07290","-0.00389"
"4.23000","2.07338","-0.00396"
"4.23600","2.07392","-0.00404"
"4.24200","2.07440","-0.00406"
"4.24800","2.07488","-0.00409"
"4.25400","2.07541","-0.00404"
"4.26000","2.07589","-0.00388"
"4.26600","2.07637","-0.00381"
"4.27200","2.07685","-0.00378"
"4.27800","2.07739","-0.00383"
"4.28400","2.07787","-0.00401"
"4.29000","2.07840","-0.00413"
"4.29600","2.07888","-0.00431"
"4.30200","2.07936","-0.00449"
"4.30800","2.07990","-0.00461"
"4.31400","2.08038","-0.00461"
"4.32000","2.08086","-0.00455"
"4.32600","2.08139","-0.00438"
"4.33200","2.08187","-0.00424"
"4.33800","2.08241","-0.00406"
"4.34400","2.08289","-0.00384"
"4.35000","2.08337","-0.00389"
"4.35600","2.08390","-0.00399"
"4.36200","2.08438","-0.00393"
"4.36800","2.08486","-0.00392"
"4.37400","2.08540","-0.00389"
"4.38000","2.08588","-0.00378"
"4.38600","2.08642","-0.00377"
"4.39200","2.08689","-0.00383"
"4.39800","2.08743","-0.00389"
"4.40400","2.08791","-0.00386"
"4.41000","2.08839","-0.00391"
"4.41600","2.08893","-0.00394"
"4.42200","2.08941","-0.00394"
"4.42800","2.08994","-0.00405"
"4.43400","2.09042","-0.00421"
"4.44000","2.09096","-0.00430"
"4.44600","2.09144","-0.00426"
"4.45200","2.09192","-0.00419"
"4.45800","2.09245","-0.00403"
"4.46400","2.09293","-0.00391"
"4.47000","2.09341","-0.00389"
"4.47600","2.09395","-0.00388"
"4.48200","2.09443","-0.00390"
"4.48800","2.09497","-0.00382"
"4.49400","2.09544","-0.00377"
"4.50000","2.09592","-0.00382"
"4.50600","2.09640","-0.00383"
"4.51200","2.09694","-0.00387"
"4.51800","2.09742","-0.00397"
"4.52400","2.09790","-0.00392"
"4.53000","2.09837","-0.00371"
"4.53600","2.09891","-0.00353"
"4.54200","2.09939","-0.00338"
"4.54800","2.09993","-0.00324"
